구분자,구분자,구분자,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 1분기,전기 1분기,전기,전전기,
entity00105271_udf_CF_2017310165624423_AdjustmentsForReconcileProfitLoss      공동기업투자주식손상차손,종속기업/관계기업/공동기업투자손상차손,01-02-42,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2017310165624423_AdjustmentsForReconcileProfitLoss,      공동기업투자주식손상차손,,,"61,904,000,000",,
entity00105271_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities   (3)영업자산부채의변동,영업활동으로인한자산ㆍ부채의변동,01-03,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,   (3)영업자산부채의변동,"-11,235,439,236","-52,859,299,295","-44,175,305,799","-60,945,166,579",
entity00105271_udf_CF_2011526131241718_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      매출채권의감소(증가),매출채권의 감소(증가),01-03-01,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131241718_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      매출채권의감소(증가),"58,221,526,469","22,713,407,027","-57,435,781,607","-28,476,965,532",
entity00105271_udf_CF_2011526131243609_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      (유동)기타채권의감소(증가),(유동)기타채권의 감소(증가),01-03-02,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131243609_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      (유동)기타채권의감소(증가),"8,882,286,338","9,664,025,940","-1,211,930,115","-571,656,776",
entity00105271_udf_CF_2011526131244359_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      선급금의감소(증가),선급금의 감소(증가),01-03-03,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131244359_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      선급금의감소(증가),"-8,927,345,395","-2,315,796,700","-955,225,331","5,380,437,927",
entity00105271_udf_CF_2011526131245125_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      선급비용의감소(증가),선급비용의 감소(증가),01-03-04,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131245125_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      선급비용의감소(증가),"549,536,324","695,792,572","-770,213,974","-1,012,049,133",
entity00105271_udf_CF_2011526131242656_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      재고자산의감소(증가),재고자산의 감소(증가),01-03-05,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131242656_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      재고자산의감소(증가),"-14,257,139,745","-13,508,783,049","19,565,852,926","-24,797,052,552",
entity00105271_udf_CF_2011526131239531_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      장기매출채권의감소(증가),장기매출채권의 감소(증가),01-03-06,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131239531_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      장기매출채권의감소(증가),"-5,294,530,220","971,503,507","5,271,895,943","-243,639,002",
entity00105271_udf_CF_2011526131247546_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      매입채무의증가(감소),매입채무의 증가(감소),01-03-07,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131247546_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      매입채무의증가(감소),"10,128,071,342","-3,701,520,673","24,628,471,411","18,988,993,209",
entity00105271_udf_CF_2011526131248421_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      (유동)기타부채의증가(감소),(유동)기타부채의 감소(증가),01-03-09,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131248421_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      (유동)기타부채의증가(감소),"-58,049,729,929","-62,218,731,404","34,386,726,290","36,867,896,116",
entity00105271_udf_CF_2011526131246765_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      (비유동)기타부채의증가(감소),기타비유동채권의 감소(증가),01-03-08,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131246765_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      (비유동)기타부채의증가(감소),"1,110,000,000","-279,125,000","-787,856,420","-3,853,053,060",
entity00105271_udf_CF_2011824133716843_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      사외적립자산의감소(증가),사외적립자산의 감소(증가),01-03-13,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011824133716843_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      사외적립자산의감소(증가),"5,647,192,319","4,180,811,674","-34,890,469,989","-44,103,777,271",
entity00105271_udf_CF_2011824133732921_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      국민연금전환금의 감소(증가),국민연금전환금의 감소(증가),01-03-11,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011824133732921_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      국민연금전환금의 감소(증가),"10,083,600","9,876,700","30,029,400","19,142,700",
entity00105271_udf_CF_2011526131540343_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities      퇴직금의지급,국민연금전환금의 감소(증가),01-03-11,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526131540343_udf_CF_2011526131214625_CashFlowsFromUsedInOperatingActivities,      퇴직금의지급,"-7,728,139,188","-7,182,876,890","-24,478,742,373","-13,273,573,328",
