account_name,year,quarter,value,unit
금융보증수익,2021,Q4,,KRW
금융보증수익,2022,Q1,,KRW
금융보증수익,2022,Q2,,KRW
금융보증수익,2022,Q3,,KRW
금융보증수익,2022,Q4,,KRW
금융보증수익,2023,Q1,,KRW
금융보증수익,2023,Q2,,KRW
금융보증수익,2023,Q3,,KRW
금융보증수익,2023,Q4,,KRW
금융보증수익,2024,Q1,,KRW
금융보증수익,2024,Q2,,KRW
금융보증수익,2024,Q3,,KRW
금융보증수익,2024,Q4,,KRW
금융보증수익,2025,Q1,,KRW
금융보증수익,2025,Q2,,KRW
금융보증수익,2025,Q3,,KRW
외화환산손실,2020,Q1,20753501723,KRW
외화환산손실,2020,Q2,27241327741,KRW
외화환산손실,2020,Q3,39157159876,KRW
외화환산손실,2020,Q4,59039248052,KRW
외화환산손실,2021,Q1,25396218861,KRW
외화환산손실,2021,Q2,35228363262,KRW
외화환산손실,2021,Q3,47033158178,KRW
외화환산손실,2021,Q4,74523335379,KRW
외화환산손실,2022,Q1,53177175508,KRW
외화환산손실,2022,Q2,74522414964,KRW
외화환산손실,2022,Q3,91625514825,KRW
외화환산손실,2022,Q4,84391123554,KRW
외화환산손실,2023,Q1,51826153426,KRW
외화환산손실,2023,Q2,1.09508E+11,KRW
외화환산손실,2023,Q3,1.46645E+11,KRW
외화환산손실,2023,Q4,76665382000,KRW
외화환산손실,2024,Q1,34257709371,KRW
외화환산손실,2024,Q2,73110048212,KRW
외화환산손실,2024,Q3,61784404419,KRW
외화환산손실,2024,Q4,90768440509,KRW
외화환산손실,2025,Q1,49263888632,KRW
외화환산손실,2025,Q2,1.29159E+11,KRW
외화환산손실,2025,Q3,1.10771E+11,KRW
외화환산이익,2020,Q1,20742013881,KRW
외화환산이익,2020,Q2,19590202962,KRW
외화환산이익,2020,Q3,28227914071,KRW
외화환산이익,2020,Q4,45106108836,KRW
외화환산이익,2021,Q1,44148561385,KRW
외화환산이익,2021,Q2,48987645152,KRW
외화환산이익,2021,Q3,53068109515,KRW
외화환산이익,2021,Q4,81213064366,KRW
외화환산이익,2022,Q1,51609492877,KRW
외화환산이익,2022,Q2,76760513173,KRW
외화환산이익,2022,Q3,87352516584,KRW
외화환산이익,2022,Q4,39999929025,KRW
외화환산이익,2023,Q1,38497854616,KRW
외화환산이익,2023,Q2,99604677294,KRW
외화환산이익,2023,Q3,1.46435E+11,KRW
외화환산이익,2023,Q4,40311070454,KRW
외화환산이익,2024,Q1,45192809769,KRW
외화환산이익,2024,Q2,98332534798,KRW
외화환산이익,2024,Q3,33018116557,KRW
외화환산이익,2024,Q4,1.1555E+11,KRW
외화환산이익,2025,Q1,37598454168,KRW
외화환산이익,2025,Q2,72396163409,KRW
외화환산이익,2025,Q3,67748456405,KRW
