기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,search_tag,search_text,fact_text,수치표시
2025-03-31,2025,Q1,2025 Q1,건자재,영업이익,영업이익,23742,백만원,2025Q1|건자재|영업이익|영업이익|백만원,2025 Q1 | 2025년 Q1 | 2025년 1분기 | 2025-03-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 1분기 사업부 부문정보 기준 건자재의 영업이익은 23742백만원이며 기준일은 2025-03-31입니다.,23742
2025-03-31,2025,Q1,2025 Q1,건자재,영업이익,영업이익률(%),10.2,%,2025Q1|건자재|영업이익|영업이익률(%)|%,2025 Q1 | 2025년 Q1 | 2025년 1분기 | 2025-03-31 기준 건자재 영업이익률(%) | 사업부 | 부문정보 | 건자재 | 영업이익률(%) | 건재 | 건자재사업부 | operating margin | op margin | 이익률 | 수익성 | margin | %,2025년 1분기 사업부 부문정보 기준 건자재의 영업이익률은 10.2%이며 기준일은 2025-03-31입니다.,10.2
2025-03-31,2025,Q1,2025 Q1,도료,매출액,매출액,457571,백만원,2025Q1|도료|매출액|매출액|백만원,2025 Q1 | 2025년 Q1 | 2025년 1분기 | 2025-03-31 기준 도료 매출액 | 사업부 | 부문정보 | 도료 | 매출액 | 도료사업부 | paint | 매출 | sales | revenue | 백만원,2025년 1분기 사업부 부문정보 기준 도료의 매출액은 457571백만원이며 기준일은 2025-03-31입니다.,457571
2025-03-31,2025,Q1,2025 Q1,도료,영업이익,영업이익,55922,백만원,2025Q1|도료|영업이익|영업이익|백만원,2025 Q1 | 2025년 Q1 | 2025년 1분기 | 2025-03-31 기준 도료 영업이익 | 사업부 | 부문정보 | 도료 | 영업이익 | 도료사업부 | paint | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 1분기 사업부 부문정보 기준 도료의 영업이익은 55922백만원이며 기준일은 2025-03-31입니다.,55922
2025-03-31,2025,Q1,2025 Q1,도료,영업이익,영업이익률(%),12.2,%,2025Q1|도료|영업이익|영업이익률(%)|%,2025 Q1 | 2025년 Q1 | 2025년 1분기 | 2025-03-31 기준 도료 영업이익률(%) | 사업부 | 부문정보 | 도료 | 영업이익률(%) | 도료사업부 | paint | operating margin | op margin | 이익률 | 수익성 | margin | %,2025년 1분기 사업부 부문정보 기준 도료의 영업이익률은 12.2%이며 기준일은 2025-03-31입니다.,12.2
2025-03-31,2025,Q1,2025 Q1,기타,매출액,매출액,117829,백만원,2025Q1|기타|매출액|매출액|백만원,2025 Q1 | 2025년 Q1 | 2025년 1분기 | 2025-03-31 기준 기타 매출액 | 사업부 | 부문정보 | 기타 | 매출액 | other | 매출 | sales | revenue | 백만원,2025년 1분기 사업부 부문정보 기준 기타의 매출액은 117829백만원이며 기준일은 2025-03-31입니다.,117829
2025-03-31,2025,Q1,2025 Q1,기타,영업이익,영업이익,2000,백만원,2025Q1|기타|영업이익|영업이익|백만원,2025 Q1 | 2025년 Q1 | 2025년 1분기 | 2025-03-31 기준 기타 영업이익 | 사업부 | 부문정보 | 기타 | 영업이익 | other | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 1분기 사업부 부문정보 기준 기타의 영업이익은 2000백만원이며 기준일은 2025-03-31입니다.,2000
2025-03-31,2025,Q1,2025 Q1,기타,영업이익,영업이익률(%),1.7,%,2025Q1|기타|영업이익|영업이익률(%)|%,2025 Q1 | 2025년 Q1 | 2025년 1분기 | 2025-03-31 기준 기타 영업이익률(%) | 사업부 | 부문정보 | 기타 | 영업이익률(%) | other | operating margin | op margin | 이익률 | 수익성 | margin | %,2025년 1분기 사업부 부문정보 기준 기타의 영업이익률은 1.7%이며 기준일은 2025-03-31입니다.,1.7
2025-03-31,2025,Q1,2025 Q1,연결조정,영업이익,영업이익,7586,백만원,2025Q1|연결조정|영업이익|영업이익|백만원,2025 Q1 | 2025년 Q1 | 2025년 1분기 | 2025-03-31 기준 연결조정 영업이익 | 사업부 | 부문정보 | 연결조정 | 영업이익 | 조정 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 1분기 사업부 부문정보 기준 연결조정의 영업이익은 7586백만원이며 기준일은 2025-03-31입니다.,7586
2025-06-30,2025,Q2,2025 Q2,전사(공통),매출액,매출액,1685183,백만원,2025Q2|전사(공통)|매출액|매출액|백만원,2025 Q2 | 2025년 Q2 | 2025년 2분기 | 2025-06-30 기준 전사(공통) 매출액 | 사업부 | 부문정보 | 전사(공통) | 매출액 | 전사 | 공통 | 매출 | sales | revenue | 백만원,2025년 2분기 사업부 부문정보 기준 전사(공통)의 매출액은 1685183백만원이며 기준일은 2025-06-30입니다.,1685183
2025-06-30,2025,Q2,2025 Q2,전사(공통),영업이익,영업이익,148249,백만원,2025Q2|전사(공통)|영업이익|영업이익|백만원,2025 Q2 | 2025년 Q2 | 2025년 2분기 | 2025-06-30 기준 전사(공통) 영업이익 | 사업부 | 부문정보 | 전사(공통) | 영업이익 | 전사 | 공통 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 2분기 사업부 부문정보 기준 전사(공통)의 영업이익은 148249백만원이며 기준일은 2025-06-30입니다.,148249
2025-06-30,2025,Q2,2025 Q2,전사(공통),영업이익,영업이익률(%),8.8,%,2025Q2|전사(공통)|영업이익|영업이익률(%)|%,2025 Q2 | 2025년 Q2 | 2025년 2분기 | 2025-06-30 기준 전사(공통) 영업이익률(%) | 사업부 | 부문정보 | 전사(공통) | 영업이익률(%) | 전사 | 공통 | operating margin | op margin | 이익률 | 수익성 | margin | %,2025년 2분기 사업부 부문정보 기준 전사(공통)의 영업이익률은 8.8%이며 기준일은 2025-06-30입니다.,8.8
2025-06-30,2025,Q2,2025 Q2,전사(공통),당기순이익,당기순이익,898088,백만원,2025Q2|전사(공통)|당기순이익|당기순이익|백만원,2025 Q2 | 2025년 Q2 | 2025년 2분기 | 2025-06-30 기준 전사(공통) 당기순이익 | 사업부 | 부문정보 | 전사(공통) | 당기순이익 | 전사 | 공통 | 순이익 | net income | net profit | 당기순익 | 백만원,2025년 2분기 사업부 부문정보 기준 전사(공통)의 당기순이익은 898088백만원이며 기준일은 2025-06-30입니다.,898088
2025-06-30,2025,Q2,2025 Q2,전사(공통),당기순이익,당기순이익률(%),53.3,%,2025Q2|전사(공통)|당기순이익|당기순이익률(%)|%,2025 Q2 | 2025년 Q2 | 2025년 2분기 | 2025-06-30 기준 전사(공통) 당기순이익률(%) | 사업부 | 부문정보 | 전사(공통) | 당기순이익률(%) | 전사 | 공통 | 순이익률 | net margin | 수익성 | 당기순익률 | %,2025년 2분기 사업부 부문정보 기준 전사(공통)의 당기순이익률은 53.3%이며 기준일은 2025-06-30입니다.,53.3
2025-06-30,2025,Q2,2025 Q2,실리콘,매출액,매출액,796788,백만원,2025Q2|실리콘|매출액|매출액|백만원,2025 Q2 | 2025년 Q2 | 2025년 2분기 | 2025-06-30 기준 실리콘 매출액 | 사업부 | 부문정보 | 실리콘 | 매출액 | 실리콘사업부 | silicone | 매출 | sales | revenue | 백만원,2025년 2분기 사업부 부문정보 기준 실리콘의 매출액은 796788백만원이며 기준일은 2025-06-30입니다.,796788
