재무계정,사업부,상세항목,기간,수치,단위
영업이익,기타,YoY(%),2023-06-30,0.046,백만원
당기순이익,전사(공통),당기순이익 (총계),2023-06-30,67,백만원
당기순이익,전사(공통),당기순익률(%),2023-06-30,0.004,백만원
당기순이익,전사(공통),QoQ(%),2023-06-30,흑자전환,백만원
당기순이익,전사(공통),YoY(%),2023-06-30,-0.063,백만원
당기순이익,전사(공통),지배순이익,2023-06-30,91,백만원
매출액,전사(공통),매출액 (총계),2023-09-30,1553,백만원
매출액,전사(공통),QoQ(%),2023-09-30,-0.002,백만원
매출액,전사(공통),YoY(%),2023-09-30,-0.011,백만원
매출액,실리콘,실리콘,2023-09-30,700,백만원
매출액,건자재,건자재,2023-09-30,277,백만원
매출액,도료,도료,2023-09-30,431,백만원
매출액,기타,기타,2023-09-30,145,백만원
영업이익,전사(공통),영업이익 (총계),2023-09-30,88,백만원
영업이익,전사(공통),영업이익률(%),2023-09-30,0.006,백만원
영업이익,전사(공통),QoQ(%),2023-09-30,-0.002,백만원
영업이익,전사(공통),YoY(%),2023-09-30,-0.008,백만원
영업이익,실리콘,영업이익,2023-09-30,-38,백만원
영업이익,실리콘,영업이익률(%),2023-09-30,-0.006,백만원
영업이익,실리콘,QoQ(%),2023-09-30,적자지속,백만원
영업이익,실리콘,YoY(%),2023-09-30,적자전환,백만원
영업이익,건자재,영업이익,2023-09-30,59,백만원
영업이익,건자재,영업이익률(%),2023-09-30,0.021,백만원
영업이익,건자재,QoQ(%),2023-09-30,0.023,백만원
영업이익,건자재,YoY(%),2023-09-30,0.096,백만원
영업이익,도료,영업이익,2023-09-30,60,백만원
영업이익,도료,영업이익률(%),2023-09-30,0.014,백만원
영업이익,도료,QoQ(%),2023-09-30,0.027,백만원
영업이익,도료,YoY(%),2023-09-30,0.18,백만원
영업이익,기타,영업이익,2023-09-30,3,백만원
영업이익,기타,영업이익률(%),2023-09-30,0.002,백만원
영업이익,기타,QoQ(%),2023-09-30,-0.063,백만원
영업이익,기타,YoY(%),2023-09-30,-0.007,백만원
