분류,항목,기간,수치,단위
손익계산서(연결),지배기업소유주지분,2022-12-31,2.35681E+11,원
손익계산서(연결),비지배지분,2022-12-31,92587778275,원
손익계산서(연결),계속영업기본주당이익(손실),2022-12-31,4564,원
손익계산서(연결),계속영업희석주당이익(손실),2022-12-31,4564,원
손익계산서(연결),매출액,2023-12-31,6.28844E+12,원
손익계산서(연결),매출원가,2023-12-31,4.95994E+12,원
손익계산서(연결),매출총이익,2023-12-31,1.3285E+12,원
손익계산서(연결),판매비와관리비,2023-12-31,1.01597E+12,원
손익계산서(연결),영업이익,2023-12-31,3.1253E+11,원
손익계산서(연결),지분법손익,2023-12-31,-2.00303E+11,원
손익계산서(연결),순금융손익,2023-12-31,1.6909E+11,원
손익계산서(연결),금융수익,2023-12-31,7.23338E+11,원
손익계산서(연결),금융원가,2023-12-31,5.54249E+11,원
손익계산서(연결),기타영업외손익,2023-12-31,-36881595747,원
손익계산서(연결),기타이익,2023-12-31,63475562408,원
손익계산서(연결),기타손실,2023-12-31,1.00357E+11,원
손익계산서(연결),법인세비용차감전이익,2023-12-31,2.44436E+11,원
손익계산서(연결),법인세비용(수익),2023-12-31,1.51933E+11,원
손익계산서(연결),당기순손익,2023-12-31,92502625102,원
손익계산서(연결),기타포괄손익,2023-12-31,-1.37278E+11,원
손익계산서(연결),후속기간에 당기손익으로 재분류되는 항목,2023-12-31,-79767454463,원
손익계산서(연결),지분법자본변동,2023-12-31,6561877418,원
손익계산서(연결),현금흐름위험회피,2023-12-31,-87402559270,원
손익계산서(연결),해외사업환산손익,2023-12-31,1073227389,원
손익계산서(연결),후속기간에 당기손익으로 재분류되지 않는 항목,2023-12-31,-57510898458,원
손익계산서(연결),확정급여제도의 재측정요소,2023-12-31,-61141136634,원
손익계산서(연결),지분법이익잉여금변동,2023-12-31,1850554892,원
손익계산서(연결),기타포괄손익-공정가치측정금융자산평가이익(손실),2023-12-31,1779683284,원
손익계산서(연결),총포괄손익,2023-12-31,-44775727819,원
손익계산서(연결),지배기업소유주지분,2023-12-31,2.12663E+11,원
