,(단위 : 원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
누적 기준,제출시점 기준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
12-02-05,      재평가이익,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"907,417,696,774 ","908,747,367,591 ","903,918,474,436 "
12-02-06,      재평가잉여금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,0 
13,총포괄손익,"98,682,751,505 ","683,593,292,578 ","504,576,040,332 ","-3,352,091,499 ","394,099,022,044 ","54,813,450,635 ","343,160,605,746 ","-35,787,011,447 ","52,612,480,086 ","-81,950,871,036 ","-161,123,795,095 ","-242,241,296,306 ","-278,785,437,778 ","41,729,967,020 ","-99,115,445,390 ","409,106,718,191 ","128,773,629,384 ","522,642,882,331 ","368,756,579,880 ","224,683,345,959 ","108,941,061,903 ","336,344,795,082 ","200,566,110,180 ","328,268,655,917 ","33,993,031,515 ","26,035,254,633 ","4,874,899,166 ","-44,775,727,819 ","445,760,145,747 ","351,663,096,592 ","361,656,159,537 ","289,618,094,948 ","1,060,461,125,746 ","1,869,465,903,029 ","2,258,325,481,721 "
14,당기순손익의 귀속 :,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
14-01,   지배기업소유주지분,"34,024,159,475 ","103,960,440,951 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"-188,397,682,522 ","-222,524,881,829 ","-247,734,807,216 ","126,744,429,172 ","31,191,804,135 ","596,399,352,651 ","17,492,944,760 ","383,975,732,777 ","138,836,645,303 ","-45,780,239,737 ","6,580,389,430 ","175,938,328,009 ","-92,070,347,813 ","33,862,990,909 ","8,136,881,958 ","99,129,846,930 ","146,093,876,745 ","212,662,787,381 ","472,184,447,536 ","439,343,565,427 ","397,035,912,065 ","310,568,028,257 ","44,050,087,099 ","937,320,802,442 ","1,263,659,266,611 "
14-02,   비지배지분,"89,945,487 ","190,268,078 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"529,595,423 ","647,620,051 ","-22,512,555,420 ","-48,611,056,743 ","-78,909,968,649 ","-35,526,321,970 ","12,938,192,884 ","27,374,469,406 ","40,133,285,769 ","-7,430,928,742 ","25,616,912,327 ","38,458,304,384 ","41,125,632,766 ","-5,201,333,943 ","-23,588,895,044 ","-47,257,976,868 ","-82,984,041,885 ","-120,160,162,279 ","-17,273,515,790 ","-17,273,515,790 ","-17,273,515,790 ","-17,273,515,790 ",0 ,0 ,0 
15,총포괄손익의 귀속 :,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
15-01,   지배기업소유주지분,"99,297,750,701 ","683,576,273,906 ","679,711,499,726 ","38,173,828,571 ","769,738,148,032 ","94,818,475,709 ","702,246,691,229 ","-60,084,827,016 ","85,319,290,361 ","-176,041,729,871 ","-162,391,216,539 ","-243,572,089,634 ","-245,680,155,587 ","105,799,670,462 ","6,437,799,339 ","519,172,504,783 ","87,439,101,335 ","465,108,143,726 ","281,284,818,618 ","161,742,322,204 ","63,039,714,985 ","271,417,546,518 ","111,839,676,527 ","235,680,877,642 ","53,100,962,389 ","90,532,164,937 ","120,586,319,839 ","118,411,489,612 ","479,584,886,288 ","385,487,837,133 ","395,480,900,078 ","323,442,835,489 ","1,060,461,125,746 ","1,869,465,903,029 ","2,258,325,481,721 "
15-02,   비지배지분,"-614,999,196 ","17,018,672 ","744,614,229 ","773,713,496 ","675,800,428 ","952,809,147 ","726,228,210 ","1,194,262,205 ","523,154,979 ","823,622,151 ","1,267,421,444 ","1,330,793,328 ","-33,105,282,191 ","-64,069,703,442 ","-105,553,244,729 ","-110,065,786,592 ","41,334,528,049 ","57,534,738,605 ","87,471,761,262 ","62,941,023,755 ","45,901,346,918 ","64,927,248,564 ","88,726,433,653 ","92,587,778,275 ","-19,107,930,874 ","-64,496,910,304 ","-115,711,420,673 ","-163,187,217,431 ","-33,824,740,541 ","-33,824,740,541 ","-33,824,740,541 ","-33,824,740,541 ",0 ,0 ,0 
16,주당손익,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
16-01,   기본주당이익(손실),"3,460 ","10,572 ","17,851 ","4,249 ","38,261 ","4,147 ","36,565 ","-2,397 ","3,373 ","-9,506 ","-19,159 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"13,479 ","19,865 ","28,917 ","64,206 ","59,741 ","53,988 ","42,230 ","5,990 ","127,454 ","171,829 "
16-02,   희석주당이익(손실),"3,460 ","10,572 ","17,851 ","4,249 ","38,261 ","4,147 ","36,565 ","-2,397 ","3,373 ","-9,506 ","-19,159 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"13,479 ","19,865 ","28,917 ","64,206 ","59,741 ","53,988 ","42,230 ","5,990 ","127,454 ","171,829 "
17,지배기업소유주지분에 대한 주당손익,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
17-01,   계속영업기본주당이익(손실),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"-23,038 ","-35,610 ","9,665 ","-1,886 ","67,221 ","2,284 ","50,139 ","18,129 ","-5,978 ",864 ,"23,503 ","-12,373 ","4,564 ","1,106 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
17-02,   중단영업기본주당이익(손실),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,409 ,"5,658 ","5,658 ","5,658 ","5,724 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
