,(단위 : 원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
01-02-24,운휴자산상각비," 1,036,156 "," 121,562,173 "," 301,833,110 "," 462,828,254 "," 159,898,931 "," 160,935,090 "," 161,971,246 "," 163,006,402 "," 236,170,861 "," 2,631,008,218 "," 3,415,937,448 "," 4,138,783,618 "," 306,735,968 ", - , - ," 5,643,596,090 "," 270,295,519 "," 484,256,163 "," 667,219,165 "," 819,472,866 "," 152,190,043 "," 304,380,086 "," 456,570,127 "," 608,760,171 "," 129,786,340 "," 259,397,603 "," 1,424,097,782 "," 522,612,333 "," 130,527,164 "," 261,054,328 "," 391,581,490 "," 522,164,021 "," 164,361,548 "," 394,890,960 "," 1,702,455,781 "
01-02-25,사용권자산상각비, - , - , - , - , - , - , - , - ," 381,620,490 "," 1,184,402,647 "," 3,123,530,481 "," 4,113,121,552 "," 994,966,048 "," 2,152,027,142 "," 3,277,972,667 "," 4,275,594,687 "," 950,573,516 "," 1,790,849,696 "," 2,898,363,028 "," 5,598,957,830 "," 1,595,292,540 "," 3,031,097,711 "," 4,552,832,709 "," 6,288,110,639 "," 1,747,097,187 "," 3,410,385,651 "," 5,120,406,466 "," 7,047,680,490 "," 1,870,416,336 "," 3,956,403,513 "," 6,010,958,307 "," 8,107,271,647 "," 2,181,257,468 "," 4,362,650,818 "," 6,518,938,035 "
01-02-26,무형자산상각비," 262,781,178 "," 528,795,268 "," 796,046,314 "," 1,066,369,175 "," 271,329,225 "," 544,840,626 "," 820,288,618 "," 1,097,390,459 "," 347,250,068 "," 697,216,414 "," 1,151,008,042 "," 1,565,090,628 "," 147,859,859 "," 298,619,515 "," 444,034,865 "," 578,008,564 "," 135,113,531 "," 282,768,060 "," 470,135,318 "," 703,751,622 "," 265,791,113 "," 537,804,123 "," 817,264,822 "," 1,108,729,529 "," 311,500,709 "," 629,703,233 "," 962,434,691 "," 1,298,881,134 "," 306,777,266 "," 601,063,323 "," 896,384,256 "," 1,196,919,247 "," 303,865,271 "," 690,653,514 "," 1,007,268,412 "
01-02-27,대손상각비," 4,056,379,708 "," 5,097,161,833 "," 4,349,475,004 "," 5,680,854,390 "," 4,994,882,812 "," 10,214,717,584 "," 8,208,193,425 "," 6,891,429,323 "," 5,013,210,799 "," 7,824,129,744 "," 9,601,406,955 "," 9,850,219,272 ","-370,180,704 ","-3,120,969,522 ","-2,428,007,689 ","-1,105,112,554 ", - ,"-81,773,834 "," 1,319,976,540 ", - ,"-1,808,010,504 ","-1,429,113,098 ","-445,089,047 ", - ,"-549,356,693 ","-1,046,486,408 "," 401,398,869 "," 540,140,669 ","-543,812,464 ","-790,672,744 ","-344,347,014 ","-742,726,273 ","-825,579,284 ","-833,628,720 ","-631,080,653 "
01-02-28,기타의 대손상각비, - , - , - ," 15,930,350,834 ", - ," 979,112,416 "," 853,112,416 "," 1,544,570,053 "," 303,049,966 "," 595,331,659 "," 1,279,886,150 "," 1,246,601,822 "," 1,199,377,229 "," 1,011,424,810 "," 732,643,034 ","-1,112,086,196 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-29,대손충당금의 환입, - , - , - , - ," 68,600,000 ", - , - , - , - , - , - , - , - , - , - , - ," 742,008,997 ", - , - ," 3,241,520,906 ", - , - , - ,"-307,127,232 ", - , - , - , - , - , - , - , - , - , - , - 
01-02-30,손상차손환입,"-1,595,677,036 ","-1,595,677,036 ", - ," 2,097,935,755 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
01-02-31,퇴직급여," 10,431,396,037 "," 19,230,002,019 "," 28,116,317,028 "," 34,907,737,718 "," 9,173,359,760 "," 18,089,802,275 "," 26,715,587,712 "," 35,495,183,956 "," 11,530,865,813 "," 20,101,408,602 "," 29,858,239,581 "," 42,683,750,923 "," 8,760,204,350 "," 16,364,697,655 "," 24,894,908,299 "," 34,092,883,669 "," 8,375,742,169 "," 14,007,008,592 "," 20,984,405,200 "," 30,834,278,850 "," 11,864,728,608 "," 18,271,083,111 "," 23,731,674,622 "," 30,961,779,013 "," 5,817,796,544 "," 10,707,537,207 "," 15,596,601,667 "," 21,505,602,141 "," 7,208,718,219 "," 14,044,495,529 "," 21,143,736,665 "," 29,298,656,656 "," 9,581,789,377 "," 16,636,037,420 "," 23,706,786,000 "
01-02-32,유형자산처분손실," 468,762,390 "," 712,507,443 "," 732,764,591 "," 799,067,327 "," 87,000 "," 294,000 "," 661,371,346 "," 759,162,465 "," 4,649,613 "," 272,448,397 "," 469,537,549 "," 434,095,503 "," 104,293,496 "," 508,763,256 "," 3,328,631,680 "," 3,629,933,867 "," 3,787,617 "," 130,634,181 "," 130,812,451 "," 320,487,752 "," 26,648,925 "," 126,961,336 "," 314,555,521 "," 301,828,391 "," 1,893,080 "," 26,060,505 "," 31,577,705 "," 144,704,616 "," 83,369,123 "," 87,449,488 "," 88,512,153 "," 91,227,542 "," 8,809,004 "," 9,258,691 "," 882,115,505 "
01-02-33,무형자산처분손실," 16,670,969 "," 22,360,533 "," 24,276,082 "," 34,004,862 "," 57,321,537 "," 124,879,253 "," 129,115,104 "," 168,892,566 "," 17,328,651 "," 57,678,352 "," 88,373,237 "," 148,821,227 "," 30,941,294 "," 43,028,101 "," 66,101,703 "," 76,738,065 "," 10,413,948 "," 16,242,402 "," 17,522,546 "," 23,114,475 "," 1,930,901 "," 47,095,902 "," 59,797,121 "," 62,578,272 "," 10,423,248 "," 30,696,612 "," 33,075,035 "," 58,926,999 "," 1,661,271 "," 20,390,003 "," 24,240,404 "," 30,120,888 "," 12,473,002 "," 25,691,029 "," 47,028,538 "
