분류,항목,기간,수치
영업이익 - 기타,영업이익률(%),3Q24,(2.2)
영업이익 - 기타,QoQ(%),3Q24,적자지속
영업이익 - 기타,YoY(%),3Q24,적자전환
당기순이익,당기순이익 (총계),3Q24,-51009
당기순이익,당기순익률(%),3Q24,(3.1)
당기순이익,QoQ(%),3Q24,적자지속
당기순이익,YoY(%),3Q24,적자전환
당기순이익,지배순이익,3Q24,-51009
매출액,매출액 (총계),4Q24,1657455
매출액,QoQ(%),4Q24,1.4
매출액,YoY(%),4Q24,4.7
매출액,실리콘,4Q24,745679
매출액,건자재,4Q24,277036
매출액,도료,4Q24,499189
매출액,기타,4Q24,135550
영업이익,영업이익 (총계),4Q24,98322
영업이익,영업이익률(%),4Q24,5.9
영업이익,QoQ(%),4Q24,(21.5)
영업이익,YoY(%),4Q24,69.8
영업이익 - 실리콘,실리콘 영업이익,4Q24,25913
영업이익 - 실리콘,영업이익률(%),4Q24,3.5
영업이익 - 실리콘,QoQ(%),4Q24,0.0
영업이익 - 실리콘,YoY(%),4Q24,흑자전환
영업이익 - 건자재,건자재 영업이익,4Q24,34920
영업이익 - 건자재,영업이익률(%),4Q24,12.6
영업이익 - 건자재,QoQ(%),4Q24,(14.4)
영업이익 - 건자재,YoY(%),4Q24,(32.9)
영업이익 - 도료,도료 영업이익,4Q24,39584
영업이익 - 도료,영업이익률(%),4Q24,7.9
영업이익 - 도료,QoQ(%),4Q24,(30.6)
영업이익 - 도료,YoY(%),4Q24,(15.4)
영업이익 - 기타,기타 영업이익,4Q24,-7180
영업이익 - 기타,영업이익률(%),4Q24,(5.3)
영업이익 - 기타,QoQ(%),4Q24,적자지속
영업이익 - 기타,YoY(%),4Q24,적자지속
당기순이익,당기순이익 (총계),4Q24,-51159
당기순이익,당기순익률(%),4Q24,(3.1)
당기순이익,QoQ(%),4Q24,적자지속
당기순이익,YoY(%),4Q24,적자전환
당기순이익,지배순이익,4Q24,-51159
매출액,매출액 (총계),1Q25,1599305
매출액,QoQ(%),1Q25,(3.5)
매출액,YoY(%),1Q25,0.7
