데이터구분,기준일,연도,분기,기간표준,구분1,구분2,항목,수치,단위,search_tag,search_text
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,지분법손익,-2633,백만원,2024Q1|연결손익계산서|지분법손익|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 지분법손익 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,지분법이익잉여금 ?,-344,백만원,2024Q1|연결손익계산서|지분법이익잉여금 ?|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 지분법이익잉여금 ? | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,지분법자본변동?,-3915,백만원,2024Q1|연결손익계산서|지분법자본변동?|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 지분법자본변동? | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,총포괄손익,445760,백만원,2024Q1|연결손익계산서|총포괄손익|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 총포괄손익 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,판매비와관리비,252888,백만원,2024Q1|연결손익계산서|판매비와관리비|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 판매비와관리비 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,해외사업환산손익 등,20469,백만원,2024Q1|연결손익계산서|해외사업환산손익 등|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 해외사업환산손익 등 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,현금흐름위험회피,-23136,백만원,2024Q1|연결손익계산서|현금흐름위험회피|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 현금흐름위험회피 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,확정급여제도의 재측정요소,-1717,백만원,2024Q1|연결손익계산서|확정급여제도의 재측정요소|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 확정급여제도의 재측정요소 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,-6582,백만원,2024Q1|연결손익계산서|후속기간에 당기손익으로 재분류되는 항목|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 후속기간에 당기손익으로 재분류되는 항목 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,-2569,백만원,2024Q1|연결손익계산서|후속기간에 당기손익으로 재분류되지 않는 항목|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 후속기간에 당기손익으로 재분류되지 않는 항목 | 백만원
연결손익계산서,2024-01-01,2024,Q1,2024 Q1,전사,연결손익계산서,희석주당손익 (단위 : 원),64206,백만원,2024Q1|연결손익계산서|희석주당손익 (단위 : 원)|백만원,2024 Q1 | 2024-01-01 | 연결손익계산서 | 희석주당손익 (단위 : 원) | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,기타부채,195616,백만원,2024Q1|재무상태표|기타부채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 기타부채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,기타부채,767302,백만원,2024Q1|재무상태표|기타부채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 기타부채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,기타비유동금융자산,3207444,백만원,2024Q1|재무상태표|기타비유동금융자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 기타비유동금융자산 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,기타유동금융부채,168940,백만원,2024Q1|재무상태표|기타유동금융부채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 기타유동금융부채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,기타유동금융자산,21086,백만원,2024Q1|재무상태표|기타유동금융자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 기타유동금융자산 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,기타장기종업원급여부채,57723,백만원,2024Q1|재무상태표|기타장기종업원급여부채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 기타장기종업원급여부채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,기타채권,131177,백만원,2024Q1|재무상태표|기타채권|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 기타채권 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,기타포괄손익누계액,-12457,백만원,2024Q1|재무상태표|기타포괄손익누계액|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 기타포괄손익누계액 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,단기금융상품,548929,백만원,2024Q1|재무상태표|단기금융상품|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 단기금융상품 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,단기차입금,1062723,백만원,2024Q1|재무상태표|단기차입금|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 단기차입금 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,매입채무,679489,백만원,2024Q1|재무상태표|매입채무|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 매입채무 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,매출채권,1131245,백만원,2024Q1|재무상태표|매출채권|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 매출채권 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,무형자산,395440,백만원,2024Q1|재무상태표|무형자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 무형자산 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,미수법인세환급액,1148,백만원,2024Q1|재무상태표|미수법인세환급액|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 미수법인세환급액 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,미지급법인세,156530,백만원,2024Q1|재무상태표|미지급법인세|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 미지급법인세 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,부채 및 자본총계,14103485,백만원,2024Q1|재무상태표|부채 및 자본총계|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 부채 및 자본총계 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,부채총계,8261675,백만원,2024Q1|재무상태표|부채총계|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 부채총계 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,비유동부채,4749051,백만원,2024Q1|재무상태표|비유동부채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 비유동부채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,비유동사채,1327305,백만원,2024Q1|재무상태표|비유동사채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 비유동사채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,비유동자산,9712508,백만원,2024Q1|재무상태표|비유동자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 비유동자산 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,비유동충당부채,22140,백만원,2024Q1|재무상태표|비유동충당부채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 비유동충당부채 | 백만원
