분류,세부항목,기간,연도,분기,기간표준,수치,단위,search_tag
판매관리비,운반비,2023-06-30,2023,Q2,2023 Q2,25868,백만원,2023Q2|판매관리비|운반비
판매관리비,지급수수료,2023-06-30,2023,Q2,2023 Q2,6186,백만원,2023Q2|판매관리비|지급수수료
판매관리비,기술개발비,2023-06-30,2023,Q2,2023 Q2,16727,백만원,2023Q2|판매관리비|기술개발비
판매관리비,기타,2023-06-30,2023,Q2,2023 Q2,15962,백만원,2023Q2|판매관리비|기타
판매관리비,판매비와관리비(총액),2023-09-30,2023,Q3,2023 Q3,241255,백만원,2023Q3|판매관리비|판매비와관리비(총액)
판매관리비,급여,2023-09-30,2023,Q3,2023 Q3,69309,백만원,2023Q3|판매관리비|급여
판매관리비,퇴직급여원가,2023-09-30,2023,Q3,2023 Q3,8793,백만원,2023Q3|판매관리비|퇴직급여원가
판매관리비,복리후생비,2023-09-30,2023,Q3,2023 Q3,9217,백만원,2023Q3|판매관리비|복리후생비
판매관리비,광고선전비,2023-09-30,2023,Q3,2023 Q3,5160,백만원,2023Q3|판매관리비|광고선전비
판매관리비,감가상각비,2023-09-30,2023,Q3,2023 Q3,5205,백만원,2023Q3|판매관리비|감가상각비
판매관리비,무형자산상각비,2023-09-30,2023,Q3,2023 Q3,10198,백만원,2023Q3|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2023-09-30,2023,Q3,2023 Q3,5849,백만원,2023Q3|판매관리비|사용권자산상각비
판매관리비,운반비,2023-09-30,2023,Q3,2023 Q3,25462,백만원,2023Q3|판매관리비|운반비
판매관리비,지급수수료,2023-09-30,2023,Q3,2023 Q3,20560,백만원,2023Q3|판매관리비|지급수수료
판매관리비,기술개발비,2023-09-30,2023,Q3,2023 Q3,51011,백만원,2023Q3|판매관리비|기술개발비
판매관리비,기타,2023-09-30,2023,Q3,2023 Q3,30491,백만원,2023Q3|판매관리비|기타
판매관리비,판매비와관리비(총액),2023-09-30,2023,Q3,2023 Q3,99068,백만원,2023Q3|판매관리비|판매비와관리비(총액)
판매관리비,급여,2023-09-30,2023,Q3,2023 Q3,27147,백만원,2023Q3|판매관리비|급여
판매관리비,퇴직급여원가,2023-09-30,2023,Q3,2023 Q3,1737,백만원,2023Q3|판매관리비|퇴직급여원가
판매관리비,복리후생비,2023-09-30,2023,Q3,2023 Q3,5457,백만원,2023Q3|판매관리비|복리후생비
판매관리비,광고선전비,2023-09-30,2023,Q3,2023 Q3,4063,백만원,2023Q3|판매관리비|광고선전비
판매관리비,감가상각비,2023-09-30,2023,Q3,2023 Q3,1742,백만원,2023Q3|판매관리비|감가상각비
판매관리비,무형자산상각비,2023-09-30,2023,Q3,2023 Q3,257,백만원,2023Q3|판매관리비|무형자산상각비
판매관리비,대손상각비(대손충당금환입),2023-09-30,2023,Q3,2023 Q3,-645,백만원,2023Q3|판매관리비|대손상각비(대손충당금환입)
판매관리비,운반비,2023-09-30,2023,Q3,2023 Q3,23731,백만원,2023Q3|판매관리비|운반비
판매관리비,지급수수료,2023-09-30,2023,Q3,2023 Q3,6648,백만원,2023Q3|판매관리비|지급수수료
판매관리비,기술개발비,2023-09-30,2023,Q3,2023 Q3,20139,백만원,2023Q3|판매관리비|기술개발비
판매관리비,기타,2023-09-30,2023,Q3,2023 Q3,8790,백만원,2023Q3|판매관리비|기타
판매관리비,판매비와관리비(총액),2023-12-31,2023,Q4,2023 Q4,281054,백만원,2023Q4|판매관리비|판매비와관리비(총액)
판매관리비,급여,2023-12-31,2023,Q4,2023 Q4,97849,백만원,2023Q4|판매관리비|급여
판매관리비,퇴직급여원가,2023-12-31,2023,Q4,2023 Q4,10975,백만원,2023Q4|판매관리비|퇴직급여원가
판매관리비,복리후생비,2023-12-31,2023,Q4,2023 Q4,6561,백만원,2023Q4|판매관리비|복리후생비
판매관리비,광고선전비,2023-12-31,2023,Q4,2023 Q4,8169,백만원,2023Q4|판매관리비|광고선전비
판매관리비,감가상각비,2023-12-31,2023,Q4,2023 Q4,5989,백만원,2023Q4|판매관리비|감가상각비
판매관리비,무형자산상각비,2023-12-31,2023,Q4,2023 Q4,10091,백만원,2023Q4|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2023-12-31,2023,Q4,2023 Q4,9376,백만원,2023Q4|판매관리비|사용권자산상각비
판매관리비,운반비,2023-12-31,2023,Q4,2023 Q4,27916,백만원,2023Q4|판매관리비|운반비
판매관리비,지급수수료,2023-12-31,2023,Q4,2023 Q4,30883,백만원,2023Q4|판매관리비|지급수수료
판매관리비,기술개발비,2023-12-31,2023,Q4,2023 Q4,40620,백만원,2023Q4|판매관리비|기술개발비
판매관리비,기타,2023-12-31,2023,Q4,2023 Q4,32625,백만원,2023Q4|판매관리비|기타
판매관리비,판매비와관리비(총액),2023-12-31,2023,Q4,2023 Q4,124954,백만원,2023Q4|판매관리비|판매비와관리비(총액)
판매관리비,급여,2023-12-31,2023,Q4,2023 Q4,45360,백만원,2023Q4|판매관리비|급여
판매관리비,퇴직급여원가,2023-12-31,2023,Q4,2023 Q4,3466,백만원,2023Q4|판매관리비|퇴직급여원가
판매관리비,복리후생비,2023-12-31,2023,Q4,2023 Q4,4527,백만원,2023Q4|판매관리비|복리후생비
판매관리비,광고선전비,2023-12-31,2023,Q4,2023 Q4,6495,백만원,2023Q4|판매관리비|광고선전비
판매관리비,감가상각비,2023-12-31,2023,Q4,2023 Q4,1836,백만원,2023Q4|판매관리비|감가상각비
판매관리비,무형자산상각비,2023-12-31,2023,Q4,2023 Q4,259,백만원,2023Q4|판매관리비|무형자산상각비
판매관리비,대손상각비(대손충당금환입),2023-12-31,2023,Q4,2023 Q4,139,백만원,2023Q4|판매관리비|대손상각비(대손충당금환입)
판매관리비,운반비,2023-12-31,2023,Q4,2023 Q4,25302,백만원,2023Q4|판매관리비|운반비
판매관리비,지급수수료,2023-12-31,2023,Q4,2023 Q4,8418,백만원,2023Q4|판매관리비|지급수수료
판매관리비,기술개발비,2023-12-31,2023,Q4,2023 Q4,16304,백만원,2023Q4|판매관리비|기술개발비
판매관리비,기타,2023-12-31,2023,Q4,2023 Q4,12848,백만원,2023Q4|판매관리비|기타
판매관리비,판매비와관리비(총액),2024-03-31,2024,Q1,2024 Q1,252888,백만원,2024Q1|판매관리비|판매비와관리비(총액)
판매관리비,급여,2024-03-31,2024,Q1,2024 Q1,80724,백만원,2024Q1|판매관리비|급여
판매관리비,퇴직급여원가,2024-03-31,2024,Q1,2024 Q1,9564,백만원,2024Q1|판매관리비|퇴직급여원가
판매관리비,복리후생비,2024-03-31,2024,Q1,2024 Q1,9923,백만원,2024Q1|판매관리비|복리후생비
판매관리비,광고선전비,2024-03-31,2024,Q1,2024 Q1,7687,백만원,2024Q1|판매관리비|광고선전비
판매관리비,감가상각비,2024-03-31,2024,Q1,2024 Q1,6145,백만원,2024Q1|판매관리비|감가상각비
판매관리비,무형자산상각비,2024-03-31,2024,Q1,2024 Q1,10217,백만원,2024Q1|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2024-03-31,2024,Q1,2024 Q1,5715,백만원,2024Q1|판매관리비|사용권자산상각비
판매관리비,운반비,2024-03-31,2024,Q1,2024 Q1,25343,백만원,2024Q1|판매관리비|운반비
판매관리비,지급수수료,2024-03-31,2024,Q1,2024 Q1,12638,백만원,2024Q1|판매관리비|지급수수료
판매관리비,기술개발비,2024-03-31,2024,Q1,2024 Q1,48738,백만원,2024Q1|판매관리비|기술개발비
판매관리비,기타,2024-03-31,2024,Q1,2024 Q1,36194,백만원,2024Q1|판매관리비|기타
판매관리비,판매비와관리비(총액),2024-03-31,2024,Q1,2024 Q1,102980,백만원,2024Q1|판매관리비|판매비와관리비(총액)
판매관리비,급여,2024-03-31,2024,Q1,2024 Q1,26894,백만원,2024Q1|판매관리비|급여
판매관리비,퇴직급여원가,2024-03-31,2024,Q1,2024 Q1,3576,백만원,2024Q1|판매관리비|퇴직급여원가
판매관리비,복리후생비,2024-03-31,2024,Q1,2024 Q1,4929,백만원,2024Q1|판매관리비|복리후생비
판매관리비,광고선전비,2024-03-31,2024,Q1,2024 Q1,6659,백만원,2024Q1|판매관리비|광고선전비
판매관리비,감가상각비,2024-03-31,2024,Q1,2024 Q1,1789,백만원,2024Q1|판매관리비|감가상각비
판매관리비,무형자산상각비,2024-03-31,2024,Q1,2024 Q1,228,백만원,2024Q1|판매관리비|무형자산상각비
판매관리비,대손상각비(대손충당금환입),2024-03-31,2024,Q1,2024 Q1,-544,백만원,2024Q1|판매관리비|대손상각비(대손충당금환입)
판매관리비,운반비,2024-03-31,2024,Q1,2024 Q1,23065,백만원,2024Q1|판매관리비|운반비
판매관리비,지급수수료,2024-03-31,2024,Q1,2024 Q1,7263,백만원,2024Q1|판매관리비|지급수수료
판매관리비,기술개발비,2024-03-31,2024,Q1,2024 Q1,18361,백만원,2024Q1|판매관리비|기술개발비
판매관리비,기타,2024-03-31,2024,Q1,2024 Q1,10760,백만원,2024Q1|판매관리비|기타
판매관리비,판매비와관리비(총액),2024-06-30,2024,Q2,2024 Q2,289968,백만원,2024Q2|판매관리비|판매비와관리비(총액)
판매관리비,급여,2024-06-30,2024,Q2,2024 Q2,84408,백만원,2024Q2|판매관리비|급여
판매관리비,퇴직급여원가,2024-06-30,2024,Q2,2024 Q2,7510,백만원,2024Q2|판매관리비|퇴직급여원가
판매관리비,복리후생비,2024-06-30,2024,Q2,2024 Q2,9919,백만원,2024Q2|판매관리비|복리후생비
판매관리비,광고선전비,2024-06-30,2024,Q2,2024 Q2,8837,백만원,2024Q2|판매관리비|광고선전비
판매관리비,감가상각비,2024-06-30,2024,Q2,2024 Q2,4850,백만원,2024Q2|판매관리비|감가상각비
판매관리비,무형자산상각비,2024-06-30,2024,Q2,2024 Q2,10406,백만원,2024Q2|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2024-06-30,2024,Q2,2024 Q2,5739,백만원,2024Q2|판매관리비|사용권자산상각비
판매관리비,운반비,2024-06-30,2024,Q2,2024 Q2,30105,백만원,2024Q2|판매관리비|운반비
판매관리비,지급수수료,2024-06-30,2024,Q2,2024 Q2,29613,백만원,2024Q2|판매관리비|지급수수료
판매관리비,기술개발비,2024-06-30,2024,Q2,2024 Q2,52475,백만원,2024Q2|판매관리비|기술개발비
판매관리비,기타,2024-06-30,2024,Q2,2024 Q2,46106,백만원,2024Q2|판매관리비|기타
판매관리비,판매비와관리비(총액),2024-06-30,2024,Q2,2024 Q2,115435,백만원,2024Q2|판매관리비|판매비와관리비(총액)
판매관리비,급여,2024-06-30,2024,Q2,2024 Q2,26502,백만원,2024Q2|판매관리비|급여
판매관리비,퇴직급여원가,2024-06-30,2024,Q2,2024 Q2,2802,백만원,2024Q2|판매관리비|퇴직급여원가
판매관리비,복리후생비,2024-06-30,2024,Q2,2024 Q2,4932,백만원,2024Q2|판매관리비|복리후생비
판매관리비,광고선전비,2024-06-30,2024,Q2,2024 Q2,7674,백만원,2024Q2|판매관리비|광고선전비
