데이터구분,기준일,연도,분기,기간표준,구분1,구분2,항목,수치,단위,search_tag,search_text,variant
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,자기자본,4453227.0,백만원,2019Q4|주요재무지표|전사|자기자본|백만원|expanded,2019년 4분기 전사 기준 자기자본 | 2019 Q4 전사 자기자본 | 2019-12-31 기준 자기자본 | 전사 자기자본 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | equity | 자본 | 백만원 | 억원 환산 참고 | KRW mn | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 자기자본 | 약 44532.3억원 | 2019년 Q4 자기자본 얼마야? | 자기자본 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,자기자본비율,47.5,%,2019Q4|주요재무지표|전사|자기자본비율|%|expanded,2019년 4분기 전사 기준 자기자본비율 | 2019 Q4 전사 자기자본비율 | 2019-12-31 기준 자기자본비율 | 전사 자기자본비율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | equity | 자본 | ratio | % | 비율 | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 자기자본비율 | 2019년 Q4 자기자본비율 얼마야? | 자기자본비율 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,자기자본순이익률(roe),-5.0,%,2019Q4|주요재무지표|전사|자기자본순이익률(roe)|%|expanded,2019년 4분기 전사 기준 자기자본순이익률(roe) | 2019 Q4 전사 자기자본순이익률(roe) | 2019-12-31 기준 자기자본순이익률(roe) | 전사 자기자본순이익률(roe) | 주요재무지표 | 재무지표 | financial indicators | financial metrics | equity | 자본 | profit | % | 비율 | ratio | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 자기자본순이익률(roe) | 2019년 Q4 자기자본순이익률(roe) 얼마야? | 자기자본순이익률(roe) 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,자산총계,9382222.0,백만원,2019Q4|주요재무지표|전사|자산총계|백만원|expanded,2019년 4분기 전사 기준 자산총계 | 2019 Q4 전사 자산총계 | 2019-12-31 기준 자산총계 | 전사 자산총계 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 총자산 | assets | 백만원 | 억원 환산 참고 | KRW mn | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 자산총계 | 약 93822.2억원 | 2019년 Q4 자산총계 얼마야? | 자산총계 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,차입금,2499969.0,백만원,2019Q4|주요재무지표|전사|차입금|백만원|expanded,2019년 4분기 전사 기준 차입금 | 2019 Q4 전사 차입금 | 2019-12-31 기준 차입금 | 전사 차입금 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | borrowings dependence | borrowings | 백만원 | 억원 환산 참고 | KRW mn | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 차입금 | 약 24999.7억원 | 2019년 Q4 차입금 얼마야? | 차입금 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,차입금의존도,26.6,%,2019Q4|주요재무지표|전사|차입금의존도|%|expanded,2019년 4분기 전사 기준 차입금의존도 | 2019 Q4 전사 차입금의존도 | 2019-12-31 기준 차입금의존도 | 전사 차입금의존도 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | borrowings dependence | borrowings | % | 비율 | ratio | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 차입금의존도 | 2019년 Q4 차입금의존도 얼마야? | 차입금의존도 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,총자산이익률,-2.4,%,2019Q4|주요재무지표|전사|총자산이익률|%|expanded,2019년 4분기 전사 기준 총자산이익률 | 2019 Q4 전사 총자산이익률 | 2019-12-31 기준 총자산이익률 | 전사 총자산이익률 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | profit | % | 비율 | ratio | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 총자산이익률 | 2019년 Q4 총자산이익률 얼마야? | 총자산이익률 수치 확인,expanded
주요재무지표,2019-12-31,2019,Q4,2019 Q4,전사,전체,총자산증가율,4.6,%,2019Q4|주요재무지표|전사|총자산증가율|%|expanded,2019년 4분기 전사 기준 총자산증가율 | 2019 Q4 전사 총자산증가율 | 2019-12-31 기준 총자산증가율 | 전사 총자산증가율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | % | 비율 | ratio | 2019 Q4 | 2019년 Q4 | 2019년 4분기 | 2019-12-31 | 전사 | 총자산증가율 | 2019년 Q4 총자산증가율 얼마야? | 총자산증가율 수치 확인,expanded
주요재무지표,2020-12-31,2020,Q4,2020 Q4,전사,전체,당기순이익,560873.0,백만원,2020Q4|주요재무지표|전사|당기순이익|백만원|expanded,2020년 4분기 전사 기준 당기순이익 | 2020 Q4 전사 당기순이익 | 2020-12-31 기준 당기순이익 | 전사 당기순이익 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 순이익 | net income | net profit | profit | 백만원 | 억원 환산 참고 | KRW mn | 2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 | 전사 | 당기순이익 | 약 5608.7억원 | 2020년 Q4 당기순이익 얼마야? | 당기순이익 수치 확인,expanded
주요재무지표,2020-12-31,2020,Q4,2020 Q4,전사,전체,부채비율,135.4,%,2020Q4|주요재무지표|전사|부채비율|%|expanded,2020년 4분기 전사 기준 부채비율 | 2020 Q4 전사 부채비율 | 2020-12-31 기준 부채비율 | 전사 부채비율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | debt ratio | 부채/자본 | ratio | % | 비율 | 2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 | 전사 | 부채비율 | 2020년 Q4 부채비율 얼마야? | 부채비율 수치 확인,expanded
