재무제표,계정과목,기간,연도,분기,기간표준,금액,단위,search_tag
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),4Q22,2022,Q4,2022 Q4,-1767,백만원,2022Q4|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)
연결손익계산서,총포괄손익,4Q22,2022,Q4,2022 Q4,127703,백만원,2022Q4|연결손익계산서|총포괄손익
연결손익계산서,지배기업소유주지분,4Q22,2022,Q4,2022 Q4,125933,백만원,2022Q4|연결손익계산서|지배기업소유주지분
연결손익계산서,비지배지분,4Q22,2022,Q4,2022 Q4,-46327,백만원,2022Q4|연결손익계산서|비지배지분
연결손익계산서,지배기업소유주지분,4Q22,2022,Q4,2022 Q4,123841,백만원,2022Q4|연결손익계산서|지배기업소유주지분
연결손익계산서,비지배지분,4Q22,2022,Q4,2022 Q4,3861,백만원,2022Q4|연결손익계산서|비지배지분
연결손익계산서,기본주당손익 (단위 : 원),4Q22,2022,Q4,2022 Q4,17124,백만원,2022Q4|연결손익계산서|기본주당손익 (단위 : 원)
연결손익계산서,희석주당손익 (단위 : 원),4Q22,2022,Q4,2022 Q4,17124,백만원,2022Q4|연결손익계산서|희석주당손익 (단위 : 원)
연결손익계산서,매출액,1Q23,2023,Q1,2023 Q1,1564943,백만원,2023Q1|연결손익계산서|매출액
연결손익계산서,매출원가,1Q23,2023,Q1,2023 Q1,1251543,백만원,2023Q1|연결손익계산서|매출원가
연결손익계산서,매출총이익,1Q23,2023,Q1,2023 Q1,313399,백만원,2023Q1|연결손익계산서|매출총이익
연결손익계산서,판매비와관리비,1Q23,2023,Q1,2023 Q1,237572,백만원,2023Q1|연결손익계산서|판매비와관리비
연결손익계산서,영업이익,1Q23,2023,Q1,2023 Q1,75828,백만원,2023Q1|연결손익계산서|영업이익
연결손익계산서,지분법손익,1Q23,2023,Q1,2023 Q1,-14433,백만원,2023Q1|연결손익계산서|지분법손익
연결손익계산서,순금융손익,1Q23,2023,Q1,2023 Q1,-36761,백만원,2023Q1|연결손익계산서|순금융손익
연결손익계산서,금융수익,1Q23,2023,Q1,2023 Q1,194455,백만원,2023Q1|연결손익계산서|금융수익
연결손익계산서,금융원가,1Q23,2023,Q1,2023 Q1,-231216,백만원,2023Q1|연결손익계산서|금융원가
연결손익계산서,기타영업외손익,1Q23,2023,Q1,2023 Q1,3451,백만원,2023Q1|연결손익계산서|기타영업외손익
연결손익계산서,기타이익,1Q23,2023,Q1,2023 Q1,30736,백만원,2023Q1|연결손익계산서|기타이익
연결손익계산서,기타손실,1Q23,2023,Q1,2023 Q1,-27284,백만원,2023Q1|연결손익계산서|기타손실
연결손익계산서,법인세비용차감전순손익,1Q23,2023,Q1,2023 Q1,28085,백만원,2023Q1|연결손익계산서|법인세비용차감전순손익
연결손익계산서,법인세비용(수익),1Q23,2023,Q1,2023 Q1,43537,백만원,2023Q1|연결손익계산서|법인세비용(수익)
연결손익계산서,당기순손익,1Q23,2023,Q1,2023 Q1,-15452,백만원,2023Q1|연결손익계산서|당기순손익
연결손익계산서,기타포괄손익,1Q23,2023,Q1,2023 Q1,49445,백만원,2023Q1|연결손익계산서|기타포괄손익
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,1Q23,2023,Q1,2023 Q1,48850,백만원,2023Q1|연결손익계산서|후속기간에 당기손익으로 재분류되는 항목
연결손익계산서,지분법자본변동?,1Q23,2023,Q1,2023 Q1,11297,백만원,2023Q1|연결손익계산서|지분법자본변동?
연결손익계산서,현금흐름위험회피,1Q23,2023,Q1,2023 Q1,-22247,백만원,2023Q1|연결손익계산서|현금흐름위험회피
연결손익계산서,해외사업환산손익 등,1Q23,2023,Q1,2023 Q1,59800,백만원,2023Q1|연결손익계산서|해외사업환산손익 등
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,1Q23,2023,Q1,2023 Q1,595,백만원,2023Q1|연결손익계산서|후속기간에 당기손익으로 재분류되지 않는 항목
연결손익계산서,확정급여제도의 재측정요소,1Q23,2023,Q1,2023 Q1,59,백만원,2023Q1|연결손익계산서|확정급여제도의 재측정요소
연결손익계산서,지분법이익잉여금 ?,1Q23,2023,Q1,2023 Q1,-634,백만원,2023Q1|연결손익계산서|지분법이익잉여금 ?
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),1Q23,2023,Q1,2023 Q1,1170,백만원,2023Q1|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)
연결손익계산서,총포괄손익,1Q23,2023,Q1,2023 Q1,33993,백만원,2023Q1|연결손익계산서|총포괄손익
연결손익계산서,지배기업소유주지분,1Q23,2023,Q1,2023 Q1,8137,백만원,2023Q1|연결손익계산서|지배기업소유주지분
연결손익계산서,비지배지분,1Q23,2023,Q1,2023 Q1,-23589,백만원,2023Q1|연결손익계산서|비지배지분
연결손익계산서,지배기업소유주지분,1Q23,2023,Q1,2023 Q1,53101,백만원,2023Q1|연결손익계산서|지배기업소유주지분
연결손익계산서,비지배지분,1Q23,2023,Q1,2023 Q1,-19108,백만원,2023Q1|연결손익계산서|비지배지분
연결손익계산서,기본주당손익 (단위 : 원),1Q23,2023,Q1,2023 Q1,1106,백만원,2023Q1|연결손익계산서|기본주당손익 (단위 : 원)
연결손익계산서,희석주당손익 (단위 : 원),1Q23,2023,Q1,2023 Q1,1106,백만원,2023Q1|연결손익계산서|희석주당손익 (단위 : 원)
연결손익계산서,매출액,2Q23,2023,Q2,2023 Q2,1588345,백만원,2023Q2|연결손익계산서|매출액
연결손익계산서,매출원가,2Q23,2023,Q2,2023 Q2,1241872,백만원,2023Q2|연결손익계산서|매출원가
연결손익계산서,매출총이익,2Q23,2023,Q2,2023 Q2,346473,백만원,2023Q2|연결손익계산서|매출총이익
연결손익계산서,판매비와관리비,2Q23,2023,Q2,2023 Q2,256089,백만원,2023Q2|연결손익계산서|판매비와관리비
연결손익계산서,영업이익,2Q23,2023,Q2,2023 Q2,90384,백만원,2023Q2|연결손익계산서|영업이익
연결손익계산서,지분법손익,2Q23,2023,Q2,2023 Q2,-4872,백만원,2023Q2|연결손익계산서|지분법손익
연결손익계산서,순금융손익,2Q23,2023,Q2,2023 Q2,43836,백만원,2023Q2|연결손익계산서|순금융손익
연결손익계산서,금융수익,2Q23,2023,Q2,2023 Q2,250334,백만원,2023Q2|연결손익계산서|금융수익
연결손익계산서,금융원가,2Q23,2023,Q2,2023 Q2,-206499,백만원,2023Q2|연결손익계산서|금융원가
연결손익계산서,기타영업외손익,2Q23,2023,Q2,2023 Q2,-10984,백만원,2023Q2|연결손익계산서|기타영업외손익
연결손익계산서,기타이익,2Q23,2023,Q2,2023 Q2,14802,백만원,2023Q2|연결손익계산서|기타이익
