재무제표,계정과목,기간,금액
연결손익계산서,법인세비용차감전순손익,3Q24,-7101
연결손익계산서,법인세비용(수익),3Q24,35207
연결손익계산서,당기순손익,3Q24,-42308
연결손익계산서,기타포괄손익,3Q24,52301
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,3Q24,52104
연결손익계산서,지분법자본변동?,3Q24,883
연결손익계산서,해외사업환산손익 등,3Q24,51221
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,3Q24,197
연결손익계산서,확정급여제도의 재측정요소,3Q24,-4
연결손익계산서,지분법이익잉여금 ?,3Q24,201
연결손익계산서,총포괄손익,3Q24,9993
연결손익계산서,지배기업소유주지분,3Q24,-42308
연결손익계산서,지배기업소유주지분,3Q24,9993
연결손익계산서,기본주당손익 (단위 : 원),3Q24,-5753
연결손익계산서,희석주당손익 (단위 : 원),3Q24,-5753
연결손익계산서,매출액,4Q24,1657455
연결손익계산서,매출원가,4Q24,1255874
연결손익계산서,매출총이익,4Q24,401581
연결손익계산서,판매비와관리비,4Q24,303260
연결손익계산서,영업이익,4Q24,98322
연결손익계산서,지분법손익,4Q24,2119
연결손익계산서,순금융손익,4Q24,-246624
연결손익계산서,금융수익,4Q24,181884
연결손익계산서,금융원가,4Q24,428508
연결손익계산서,기타영업외손익,4Q24,-11236
연결손익계산서,기타이익,4Q24,12299
연결손익계산서,기타손실,4Q24,-23535
연결손익계산서,법인세비용차감전순손익,4Q24,-157419
연결손익계산서,법인세비용(수익),4Q24,-70951
연결손익계산서,당기순손익,4Q24,-86468
연결손익계산서,기타포괄손익,4Q24,14430
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,4Q24,-3007
연결손익계산서,지분법자본변동?,4Q24,1154
연결손익계산서,해외사업환산손익 등,4Q24,-4161
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,4Q24,17437
연결손익계산서,확정급여제도의 재측정요소,4Q24,18458
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),4Q24,-1021
연결손익계산서,총포괄손익,4Q24,-72038
연결손익계산서,지배기업소유주지분,4Q24,-86468
연결손익계산서,지배기업소유주지분,4Q24,-72038
연결손익계산서,기본주당손익 (단위 : 원),4Q24,-11757
연결손익계산서,희석주당손익 (단위 : 원),4Q24,-11757
연결손익계산서,매출액,1Q25,1599305
연결손익계산서,매출원가,1Q25,1204396
연결손익계산서,매출총이익,1Q25,394909
연결손익계산서,판매비와관리비,1Q25,291466
연결손익계산서,영업이익,1Q25,103444
연결손익계산서,지분법손익,1Q25,6099
연결손익계산서,순금융손익,1Q25,-50670
연결손익계산서,금융수익,1Q25,179436
연결손익계산서,금융원가,1Q25,-230105
연결손익계산서,기타영업외손익,1Q25,16522
연결손익계산서,기타이익,1Q25,44443
연결손익계산서,기타손실,1Q25,-27922
연결손익계산서,법인세비용차감전순손익,1Q25,75395
연결손익계산서,법인세비용(수익),1Q25,31345
연결손익계산서,당기순손익,1Q25,44050
연결손익계산서,기타포괄손익,1Q25,1016411
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,1Q25,64913
연결손익계산서,지분법자본변동?,1Q25,3690
연결손익계산서,해외사업환산손익 등,1Q25,61223
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,1Q25,951498
연결손익계산서,지분법자본변동,1Q25,45323
연결손익계산서,재평가이익,1Q25,907418
연결손익계산서,지분법이익잉여금 ?,1Q25,1026
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),1Q25,-2269
연결손익계산서,총포괄손익,1Q25,1060461
연결손익계산서,지배기업소유주지분,1Q25,44050
연결손익계산서,지배기업소유주지분,1Q25,1060461
연결손익계산서,기본주당손익 (단위 : 원),1Q25,5990
연결손익계산서,희석주당손익 (단위 : 원),1Q25,5990
연결손익계산서,매출액,2Q25,1705264
연결손익계산서,매출원가,2Q25,1267996
연결손익계산서,매출총이익,2Q25,437268
연결손익계산서,판매비와관리비,2Q25,296887
연결손익계산서,영업이익,2Q25,140381
연결손익계산서,지분법손익,2Q25,2785
연결손익계산서,순금융손익,2Q25,1129283
연결손익계산서,금융수익,2Q25,1327922
연결손익계산서,금융원가,2Q25,-198639
연결손익계산서,기타영업외손익,2Q25,-5680
연결손익계산서,기타이익,2Q25,11915
연결손익계산서,기타손실,2Q25,-17595
연결손익계산서,법인세비용차감전순손익,2Q25,1266769
연결손익계산서,법인세비용(수익),2Q25,373498
연결손익계산서,당기순손익,2Q25,893271
연결손익계산서,기타포괄손익,2Q25,-84266
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,2Q25,-86319
연결손익계산서,지분법자본변동?,2Q25,-920
연결손익계산서,해외사업환산손익 등,2Q25,-85400
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,2Q25,2053
연결손익계산서,재평가이익,2Q25,1330
연결손익계산서,지분법이익잉여금 ?,2Q25,-25
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q25,749
연결손익계산서,총포괄손익,2Q25,809005
연결손익계산서,지배기업소유주지분,2Q25,893271
연결손익계산서,지배기업소유주지분,2Q25,809005
연결손익계산서,기본주당손익 (단위 : 원),2Q25,121465
연결손익계산서,희석주당손익 (단위 : 원),2Q25,121465
연결손익계산서,매출액,3Q25,1622833
연결손익계산서,매출원가,3Q25,1206255
연결손익계산서,매출총이익,3Q25,416578
연결손익계산서,판매비와관리비,3Q25,299314
연결손익계산서,영업이익,3Q25,117264
연결손익계산서,지분법손익,3Q25,-205
연결손익계산서,순금융손익,3Q25,364282
연결손익계산서,금융수익,3Q25,542870
연결손익계산서,금융원가,3Q25,-178588
연결손익계산서,기타영업외손익,3Q25,-1951
연결손익계산서,기타이익,3Q25,10059
연결손익계산서,기타손실,3Q25,-12011
연결손익계산서,법인세비용차감전순손익,3Q25,479389
연결손익계산서,법인세비용(수익),3Q25,153050
연결손익계산서,당기순손익,3Q25,326338
연결손익계산서,기타포괄손익,3Q25,62521
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,3Q25,67403
연결손익계산서,지분법자본변동?,3Q25,1275
연결손익계산서,해외사업환산손익 등,3Q25,66128
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,3Q25,-4882
연결손익계산서,재평가이익,3Q25,-85
연결손익계산서,확정급여제도의 재측정요소,3Q25,1949
연결손익계산서,지분법이익잉여금 ?,3Q25,-4829
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),3Q25,-1917
연결손익계산서,총포괄손익,3Q25,388860
연결손익계산서,지배기업소유주지분,3Q25,326338
연결손익계산서,지배기업소유주지분,3Q25,388860
연결손익계산서,기본주당손익 (단위 : 원),3Q25,44375
연결손익계산서,희석주당손익 (단위 : 원),3Q25,44375
연결손익계산서,매출액,4Q25,1556418
연결손익계산서,매출원가,4Q25,1167703
연결손익계산서,매출총이익,4Q25,388715
연결손익계산서,판매비와관리비,4Q25,322188
연결손익계산서,영업이익,4Q25,66527
연결손익계산서,지분법손익,4Q25,-4864
연결손익계산서,순금융손익,4Q25,861022
연결손익계산서,금융수익,4Q25,181884
연결손익계산서,금융원가,4Q25,428508
연결손익계산서,기타영업외손익,4Q25,-355408
연결손익계산서,기타이익,4Q25,80021
연결손익계산서,기타손실,4Q25,-435429
연결손익계산서,법인세비용차감전순손익,4Q25,567277
연결손익계산서,법인세비용(수익),4Q25,292440
연결손익계산서,당기순손익,4Q25,274837
연결손익계산서,기타포괄손익,4Q25,98902
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,4Q25,51248
연결손익계산서,지분법자본변동?,4Q25,2915
연결손익계산서,해외사업장순투자위험회피,4Q25,-6348
연결손익계산서,해외사업환산손익 등,4Q25,54681
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,4Q25,47655
연결손익계산서,지분법자본변동,4Q25,285
연결손익계산서,재평가이익,4Q25,-908663
연결손익계산서,확정급여제도의 재측정요소,4Q25,52117
연결손익계산서,지분법이익잉여금 ?,4Q25,6796
연결손익계산서,재평가잉여금,4Q25,897100
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),4Q25,19
연결손익계산서,총포괄손익,4Q25,373739
연결손익계산서,지배기업소유주지분,4Q25,274837
연결손익계산서,지배기업소유주지분,4Q25,373739
