분류	항목	기간	수치	단위
영업이익 - 건자재	YoY(%)	4Q24	-0.033	백만원
영업이익 - 도료	도료 영업이익	4Q24	40	백만원
영업이익 - 도료	영업이익률(%)	4Q24	0.008	백만원
영업이익 - 도료	QoQ(%)	4Q24	-0.031	백만원
영업이익 - 도료	YoY(%)	4Q24	-0.015	백만원
영업이익 - 기타	기타 영업이익	4Q24	-7	백만원
영업이익 - 기타	영업이익률(%)	4Q24	-0.005	백만원
영업이익 - 기타	QoQ(%)	4Q24	 적자지속 	백만원
영업이익 - 기타	YoY(%)	4Q24	 적자지속 	백만원
당기순이익	당기순이익 (총계)	4Q24	-51	백만원
당기순이익	당기순익률(%)	4Q24	-0.003	백만원
당기순이익	QoQ(%)	4Q24	 적자지속 	백만원
당기순이익	YoY(%)	4Q24	 적자전환 	백만원
당기순이익	지배순이익	4Q24	-51	백만원
매출액	매출액 (총계)	1Q25	"1,599"	백만원
매출액	QoQ(%)	1Q25	-0.004	백만원
매출액	YoY(%)	1Q25	0.001	백만원
매출액	실리콘	1Q25	774	백만원
매출액	건자재	1Q25	232	백만원
매출액	도료	1Q25	458	백만원
매출액	기타	1Q25	135	백만원
영업이익	영업이익 (총계)	1Q25	103	백만원
영업이익	영업이익률(%)	1Q25	0.007	백만원
영업이익	QoQ(%)	1Q25	0.005	백만원
영업이익	YoY(%)	1Q25	-0.003	백만원
영업이익 - 실리콘	실리콘 영업이익	1Q25	21	백만원
영업이익 - 실리콘	영업이익률(%)	1Q25	0.003	백만원
영업이익 - 실리콘	QoQ(%)	1Q25	-0.021	백만원
영업이익 - 실리콘	YoY(%)	1Q25	0.651	백만원
영업이익 - 건자재	건자재 영업이익	1Q25	24	백만원
영업이익 - 건자재	영업이익률(%)	1Q25	0.01	백만원
영업이익 - 건자재	QoQ(%)	1Q25	-0.032	백만원
영업이익 - 건자재	YoY(%)	1Q25	-0.047	백만원
영업이익 - 도료	도료 영업이익	1Q25	56	백만원
