지표,산출기준,기간,수치,단위
부채총계,,2020-12-31," 7,101,577,326,376 ",원
자기자본,,2020-12-31," 5,245,995,001,770 ",원
자기자본비율,(자기자본/총자산)*100,2020-12-31,42.50,%
자기자본,,2020-12-31," 5,245,995,001,770 ",원
자산총계,,2020-12-31," 12,347,572,328,146 ",원
차입금의존도,(차입금/총자산)*100,2020-12-31,35.30,%
차입금,,2020-12-31," 4,356,258,065,000 ",원
자산총계,,2020-12-31," 12,347,572,328,146 ",원
총자산이익률,(당기순이익/총자산)*100,2020-12-31,4.50,%
당기순이익,,2020-12-31," 560,873,030,681 ",원
자산총계,,2020-12-31," 12,347,572,328,146 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2020-12-31,10.70,%
당기순이익,,2020-12-31," 560,873,030,681 ",원
자기자본,,2020-12-31," 5,245,995,001,770 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2020-12-31,흑자전환,%
당기순이익,,2020-12-31," 560,873,030,681 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2020-12-31,31.60,%
자산총계,,2020-12-31," 12,347,572,328,146 ",원
유동비율,(유동자산/유동부채)*100,2021-03-31,127.60,%
유동자산,,2021-03-31," 4,030,019,967,509 ",원
유동부채,,2021-03-31," 3,157,950,561,484 ",원
부채비율,(부채총계/자기자본)*100,2021-03-31,146.10,%
부채총계,,2021-03-31," 7,677,667,292,164 ",원
자기자본,,2021-03-31," 5,255,126,642,361 ",원
자기자본비율,(자기자본/총자산)*100,2021-03-31,40.60,%
자기자본,,2021-03-31," 5,255,126,642,361 ",원
자산총계,,2021-03-31," 12,932,793,934,525 ",원
차입금의존도,(차입금/총자산)*100,2021-03-31,37.70,%
차입금,,2021-03-31," 4,878,885,949,000 ",원
자산총계,,2021-03-31," 12,932,793,934,525 ",원
총자산이익률,(당기순이익/총자산)*100,2021-03-31,0.20,%
당기순이익,,2021-03-31," 30,431,137,644 ",원
자산총계,,2021-03-31," 12,932,793,934,525 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2021-03-31,0.60,%
당기순이익,,2021-03-31," 30,431,137,644 ",원
자기자본,,2021-03-31," 5,255,126,642,361 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2021-03-31,흑자전환,%
당기순이익,,2021-03-31," 30,431,137,644 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2021-03-31,7.60,%
자산총계,,2021-03-31," 12,932,793,934,525 ",원
유동비율,(유동자산/유동부채)*100,2021-06-30,123.30,%
유동자산,,2021-06-30," 3,876,922,519,120 ",원
유동부채,,2021-06-30," 3,144,610,675,894 ",원
부채비율,(부채총계/자기자본)*100,2021-06-30,139.40,%
부채총계,,2021-06-30," 7,916,968,448,663 ",원
자기자본,,2021-06-30," 5,679,412,973,934 ",원
자기자본비율,(자기자본/총자산)*100,2021-06-30,41.80,%
자기자본,,2021-06-30," 5,679,412,973,934 ",원
자산총계,,2021-06-30," 13,596,381,422,597 ",원
차입금의존도,(차입금/총자산)*100,2021-06-30,36.80,%
차입금,,2021-06-30," 5,002,091,636,000 ",원
자산총계,,2021-06-30," 13,596,381,422,597 ",원
