기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,short_context,keywords,query_text
2021-09-30,2021,Q3,2021 Q3,기타,영업이익,영업이익,3697,백만원,2021 Q3 기타 영업이익 백만원,2021-09-30 | 2021 | Q3 | 2021 Q3 | 기타 | 영업이익 | 백만원,2021년 Q3 기타 영업이익 ; 2021 Q3 기타 영업이익 ; 2021-09-30 기타 영업이익 ; 기타 영업이익 백만원
2021-09-30,2021,Q3,2021 Q3,기타,영업이익,영업이익률(%),4,%,2021 Q3 기타 영업이익 영업이익률(%) %,2021-09-30 | 2021 | Q3 | 2021 Q3 | 기타 | 영업이익 | 영업이익률(%) | %,2021년 Q3 기타 영업이익 ; 2021 Q3 기타 영업이익 ; 2021-09-30 기타 영업이익 ; 기타 영업이익률(%) ; 기타 영업이익 %
2021-09-30,2021,Q3,2021 Q3,도료,매출액,매출액,377041,백만원,2021 Q3 도료 매출액 백만원,2021-09-30 | 2021 | Q3 | 2021 Q3 | 도료 | 매출액 | 백만원,2021년 Q3 도료 매출액 ; 2021 Q3 도료 매출액 ; 2021-09-30 도료 매출액 ; 도료 매출액 백만원
2021-09-30,2021,Q3,2021 Q3,도료,영업이익,QoQ(%),-5,%,2021 Q3 도료 영업이익 QoQ(%) %,2021-09-30 | 2021 | Q3 | 2021 Q3 | 도료 | 영업이익 | QoQ(%) | %,2021년 Q3 도료 영업이익 ; 2021 Q3 도료 영업이익 ; 2021-09-30 도료 영업이익 ; 도료 QoQ(%) ; 도료 영업이익 %
2021-09-30,2021,Q3,2021 Q3,도료,영업이익,영업이익,10864,백만원,2021 Q3 도료 영업이익 백만원,2021-09-30 | 2021 | Q3 | 2021 Q3 | 도료 | 영업이익 | 백만원,2021년 Q3 도료 영업이익 ; 2021 Q3 도료 영업이익 ; 2021-09-30 도료 영업이익 ; 도료 영업이익 백만원
2021-09-30,2021,Q3,2021 Q3,도료,영업이익,영업이익률(%),3,%,2021 Q3 도료 영업이익 영업이익률(%) %,2021-09-30 | 2021 | Q3 | 2021 Q3 | 도료 | 영업이익 | 영업이익률(%) | %,2021년 Q3 도료 영업이익 ; 2021 Q3 도료 영업이익 ; 2021-09-30 도료 영업이익 ; 도료 영업이익률(%) ; 도료 영업이익 %
2021-09-30,2021,Q3,2021 Q3,실리콘,매출액,매출액,783743,백만원,2021 Q3 실리콘 매출액 백만원,2021-09-30 | 2021 | Q3 | 2021 Q3 | 실리콘 | 매출액 | 백만원,2021년 Q3 실리콘 매출액 ; 2021 Q3 실리콘 매출액 ; 2021-09-30 실리콘 매출액 ; 실리콘 매출액 백만원
2021-09-30,2021,Q3,2021 Q3,실리콘,영업이익,QoQ(%),11,%,2021 Q3 실리콘 영업이익 QoQ(%) %,2021-09-30 | 2021 | Q3 | 2021 Q3 | 실리콘 | 영업이익 | QoQ(%) | %,2021년 Q3 실리콘 영업이익 ; 2021 Q3 실리콘 영업이익 ; 2021-09-30 실리콘 영업이익 ; 실리콘 QoQ(%) ; 실리콘 영업이익 %
2021-09-30,2021,Q3,2021 Q3,실리콘,영업이익,영업이익,88344,백만원,2021 Q3 실리콘 영업이익 백만원,2021-09-30 | 2021 | Q3 | 2021 Q3 | 실리콘 | 영업이익 | 백만원,2021년 Q3 실리콘 영업이익 ; 2021 Q3 실리콘 영업이익 ; 2021-09-30 실리콘 영업이익 ; 실리콘 영업이익 백만원
2021-09-30,2021,Q3,2021 Q3,실리콘,영업이익,영업이익률(%),11,%,2021 Q3 실리콘 영업이익 영업이익률(%) %,2021-09-30 | 2021 | Q3 | 2021 Q3 | 실리콘 | 영업이익 | 영업이익률(%) | %,2021년 Q3 실리콘 영업이익 ; 2021 Q3 실리콘 영업이익 ; 2021-09-30 실리콘 영업이익 ; 실리콘 영업이익률(%) ; 실리콘 영업이익 %
2021-09-30,2021,Q3,2021 Q3,전사(공통),매출액,QoQ(%),-2,%,2021 Q3 전사(공통) 매출액 QoQ(%) %,2021-09-30 | 2021 | Q3 | 2021 Q3 | 전사(공통) | 매출액 | QoQ(%) | %,2021년 Q3 전사(공통) 매출액 ; 2021 Q3 전사(공통) 매출액 ; 2021-09-30 전사(공통) 매출액 ; 전사(공통) QoQ(%) ; 전사(공통) 매출액 %
2021-09-30,2021,Q3,2021 Q3,전사(공통),매출액,매출액,1489988,백만원,2021 Q3 전사(공통) 매출액 백만원,2021-09-30 | 2021 | Q3 | 2021 Q3 | 전사(공통) | 매출액 | 백만원,2021년 Q3 전사(공통) 매출액 ; 2021 Q3 전사(공통) 매출액 ; 2021-09-30 전사(공통) 매출액 ; 전사(공통) 매출액 백만원
2021-09-30,2021,Q3,2021 Q3,전사(공통),영업이익,QoQ(%),3,%,2021 Q3 전사(공통) 영업이익 QoQ(%) %,2021-09-30 | 2021 | Q3 | 2021 Q3 | 전사(공통) | 영업이익 | QoQ(%) | %,2021년 Q3 전사(공통) 영업이익 ; 2021 Q3 전사(공통) 영업이익 ; 2021-09-30 전사(공통) 영업이익 ; 전사(공통) QoQ(%) ; 전사(공통) 영업이익 %
2021-09-30,2021,Q3,2021 Q3,전사(공통),영업이익,영업이익,120039,백만원,2021 Q3 전사(공통) 영업이익 백만원,2021-09-30 | 2021 | Q3 | 2021 Q3 | 전사(공통) | 영업이익 | 백만원,2021년 Q3 전사(공통) 영업이익 ; 2021 Q3 전사(공통) 영업이익 ; 2021-09-30 전사(공통) 영업이익 ; 전사(공통) 영업이익 백만원
2021-09-30,2021,Q3,2021 Q3,전사(공통),영업이익,영업이익률(%),8,%,2021 Q3 전사(공통) 영업이익 영업이익률(%) %,2021-09-30 | 2021 | Q3 | 2021 Q3 | 전사(공통) | 영업이익 | 영업이익률(%) | %,2021년 Q3 전사(공통) 영업이익 ; 2021 Q3 전사(공통) 영업이익 ; 2021-09-30 전사(공통) 영업이익 ; 전사(공통) 영업이익률(%) ; 전사(공통) 영업이익 %
2021-12-31,2021,Q4,2021 Q4,건자재,매출액,매출액,261864,백만원,2021 Q4 건자재 매출액 백만원,2021-12-31 | 2021 | Q4 | 2021 Q4 | 건자재 | 매출액 | 백만원,2021년 Q4 건자재 매출액 ; 2021 Q4 건자재 매출액 ; 2021-12-31 건자재 매출액 ; 건자재 매출액 백만원
2021-12-31,2021,Q4,2021 Q4,건자재,영업이익,QoQ(%),8,%,2021 Q4 건자재 영업이익 QoQ(%) %,2021-12-31 | 2021 | Q4 | 2021 Q4 | 건자재 | 영업이익 | QoQ(%) | %,2021년 Q4 건자재 영업이익 ; 2021 Q4 건자재 영업이익 ; 2021-12-31 건자재 영업이익 ; 건자재 QoQ(%) ; 건자재 영업이익 %
2021-12-31,2021,Q4,2021 Q4,건자재,영업이익,영업이익,21546,백만원,2021 Q4 건자재 영업이익 백만원,2021-12-31 | 2021 | Q4 | 2021 Q4 | 건자재 | 영업이익 | 백만원,2021년 Q4 건자재 영업이익 ; 2021 Q4 건자재 영업이익 ; 2021-12-31 건자재 영업이익 ; 건자재 영업이익 백만원
2021-12-31,2021,Q4,2021 Q4,건자재,영업이익,영업이익률(%),8,%,2021 Q4 건자재 영업이익 영업이익률(%) %,2021-12-31 | 2021 | Q4 | 2021 Q4 | 건자재 | 영업이익 | 영업이익률(%) | %,2021년 Q4 건자재 영업이익 ; 2021 Q4 건자재 영업이익 ; 2021-12-31 건자재 영업이익 ; 건자재 영업이익률(%) ; 건자재 영업이익 %
2021-12-31,2021,Q4,2021 Q4,기타,매출액,매출액,104447,백만원,2021 Q4 기타 매출액 백만원,2021-12-31 | 2021 | Q4 | 2021 Q4 | 기타 | 매출액 | 백만원,2021년 Q4 기타 매출액 ; 2021 Q4 기타 매출액 ; 2021-12-31 기타 매출액 ; 기타 매출액 백만원
2021-12-31,2021,Q4,2021 Q4,기타,영업이익,QoQ(%),-59,%,2021 Q4 기타 영업이익 QoQ(%) %,2021-12-31 | 2021 | Q4 | 2021 Q4 | 기타 | 영업이익 | QoQ(%) | %,2021년 Q4 기타 영업이익 ; 2021 Q4 기타 영업이익 ; 2021-12-31 기타 영업이익 ; 기타 QoQ(%) ; 기타 영업이익 %
2021-12-31,2021,Q4,2021 Q4,기타,영업이익,영업이익,1519,백만원,2021 Q4 기타 영업이익 백만원,2021-12-31 | 2021 | Q4 | 2021 Q4 | 기타 | 영업이익 | 백만원,2021년 Q4 기타 영업이익 ; 2021 Q4 기타 영업이익 ; 2021-12-31 기타 영업이익 ; 기타 영업이익 백만원
2021-12-31,2021,Q4,2021 Q4,기타,영업이익,영업이익률(%),1,%,2021 Q4 기타 영업이익 영업이익률(%) %,2021-12-31 | 2021 | Q4 | 2021 Q4 | 기타 | 영업이익 | 영업이익률(%) | %,2021년 Q4 기타 영업이익 ; 2021 Q4 기타 영업이익 ; 2021-12-31 기타 영업이익 ; 기타 영업이익률(%) ; 기타 영업이익 %
2021-12-31,2021,Q4,2021 Q4,도료,매출액,매출액,376425,백만원,2021 Q4 도료 매출액 백만원,2021-12-31 | 2021 | Q4 | 2021 Q4 | 도료 | 매출액 | 백만원,2021년 Q4 도료 매출액 ; 2021 Q4 도료 매출액 ; 2021-12-31 도료 매출액 ; 도료 매출액 백만원
2021-12-31,2021,Q4,2021 Q4,도료,영업이익,영업이익,-3608,백만원,2021 Q4 도료 영업이익 백만원,2021-12-31 | 2021 | Q4 | 2021 Q4 | 도료 | 영업이익 | 백만원,2021년 Q4 도료 영업이익 ; 2021 Q4 도료 영업이익 ; 2021-12-31 도료 영업이익 ; 도료 영업이익 백만원
2021-12-31,2021,Q4,2021 Q4,도료,영업이익,영업이익률(%),-1,%,2021 Q4 도료 영업이익 영업이익률(%) %,2021-12-31 | 2021 | Q4 | 2021 Q4 | 도료 | 영업이익 | 영업이익률(%) | %,2021년 Q4 도료 영업이익 ; 2021 Q4 도료 영업이익 ; 2021-12-31 도료 영업이익 ; 도료 영업이익률(%) ; 도료 영업이익 %
2021-12-31,2021,Q4,2021 Q4,실리콘,매출액,매출액,767004,백만원,2021 Q4 실리콘 매출액 백만원,2021-12-31 | 2021 | Q4 | 2021 Q4 | 실리콘 | 매출액 | 백만원,2021년 Q4 실리콘 매출액 ; 2021 Q4 실리콘 매출액 ; 2021-12-31 실리콘 매출액 ; 실리콘 매출액 백만원
2021-12-31,2021,Q4,2021 Q4,실리콘,영업이익,QoQ(%),-50,%,2021 Q4 실리콘 영업이익 QoQ(%) %,2021-12-31 | 2021 | Q4 | 2021 Q4 | 실리콘 | 영업이익 | QoQ(%) | %,2021년 Q4 실리콘 영업이익 ; 2021 Q4 실리콘 영업이익 ; 2021-12-31 실리콘 영업이익 ; 실리콘 QoQ(%) ; 실리콘 영업이익 %
