분류,항목,기간,수치,단위
재무상태표(연결),미지급법인세,2024-12-31,2.29863E+11,원
재무상태표(연결),비유동부채,2024-12-31,4.83838E+12,원
재무상태표(연결),장기차입금,2024-12-31,2.49942E+12,원
재무상태표(연결),비유동사채,2024-12-31,1.30747E+12,원
재무상태표(연결),기타부채,2024-12-31,2.10024E+11,원
재무상태표(연결),순확정급여부채,2024-12-31,3.04997E+11,원
재무상태표(연결),기타장기종업원급여부채,2024-12-31,61280310309,원
재무상태표(연결),비유동충당부채,2024-12-31,24331399660,원
재무상태표(연결),이연법인세부채,2024-12-31,4.30852E+11,원
재무상태표(연결),부채총계,2024-12-31,8.06923E+12,원
재무상태표(연결),지배기업소유지분,2024-12-31,5.03932E+12,원
재무상태표(연결),자본금,2024-12-31,48084660000,원
재무상태표(연결),자본잉여금,2024-12-31,3.49759E+11,원
재무상태표(연결),자본조정,2024-12-31,-5.0435E+11,원
재무상태표(연결),기타포괄손익누계액,2024-12-31,-20214981688,원
재무상태표(연결),이익잉여금,2024-12-31,5.16604E+12,원
재무상태표(연결),자본총계,2024-12-31,5.03932E+12,원
재무상태표(연결),부채및자본총계,2024-12-31,1.31086E+13,원
재무상태표(연결),유동자산,2025-03-31,4.49568E+12,원
재무상태표(연결),현금및현금성자산,2025-03-31,9.06545E+11,원
재무상태표(연결),단기금융상품,2025-03-31,5.31205E+11,원
재무상태표(연결),매출채권,2025-03-31,1.21569E+12,원
재무상태표(연결),기타채권,2025-03-31,1.79968E+11,원
재무상태표(연결),선급금,2025-03-31,15380795883,원
재무상태표(연결),선급비용,2025-03-31,40337400683,원
재무상태표(연결),기타유동금융자산,2025-03-31,3308780593,원
재무상태표(연결),미수법인세환급액,2025-03-31,1931281544,원
재무상태표(연결),재고자산,2025-03-31,1.60132E+12,원
재무상태표(연결),비유동자산,2025-03-31,1.05705E+13,원
재무상태표(연결),장기매출채권,2025-03-31,455962798,원
재무상태표(연결),기타채권,2025-03-31,93662303722,원
재무상태표(연결),기타비유동금융자산,2025-03-31,2.73575E+12,원
재무상태표(연결),지분법적용투자지분,2025-03-31,4.0044E+11,원
재무상태표(연결),사용권자산,2025-03-31,2.94427E+11,원
재무상태표(연결),유형자산,2025-03-31,4.56488E+12,원
재무상태표(연결),무형자산,2025-03-31,3.91671E+11,원
재무상태표(연결),영업권,2025-03-31,1.01085E+12,원
재무상태표(연결),투자부동산,2025-03-31,1.04744E+12,원
재무상태표(연결),이연법인세자산,2025-03-31,27242591505,원
재무상태표(연결),순확정급여자산,2025-03-31,3667322097,원
재무상태표(연결),자산총계,2025-03-31,1.50662E+13,원
재무상태표(연결),유동부채,2025-03-31,3.28756E+12,원
재무상태표(연결),매입채무,2025-03-31,7.26304E+11,원
재무상태표(연결),기타부채,2025-03-31,8.45878E+11,원
재무상태표(연결),단기차입금,2025-03-31,1.00854E+12,원
재무상태표(연결),유동성장기차입금,2025-03-31,12465250000,원
재무상태표(연결),유동성사채,2025-03-31,4.64798E+11,원
재무상태표(연결),유동충당부채,2025-03-31,32723049435,원
재무상태표(연결),미지급법인세,2025-03-31,1.96846E+11,원
재무상태표(연결),비유동부채,2025-03-31,5.51838E+12,원
재무상태표(연결),장기차입금,2025-03-31,2.59451E+12,원
재무상태표(연결),비유동사채,2025-03-31,1.56183E+12,원
재무상태표(연결),기타부채,2025-03-31,2.27637E+11,원
재무상태표(연결),순확정급여부채,2025-03-31,3.10642E+11,원
재무상태표(연결),기타장기종업원급여부채,2025-03-31,60645415041,원
재무상태표(연결),비유동충당부채,2025-03-31,25673966132,원
재무상태표(연결),이연법인세부채,2025-03-31,7.37438E+11,원
재무상태표(연결),부채총계,2025-03-31,8.80593E+12,원
재무상태표(연결),지배기업소유지분,2025-03-31,6.26024E+12,원
재무상태표(연결),자본금,2025-03-31,48084660000,원
재무상태표(연결),자본잉여금,2025-03-31,3.49759E+11,원
재무상태표(연결),자본조정,2025-03-31,-5.0435E+11,원
재무상태표(연결),기타포괄손익누계액,2025-03-31,9.95116E+11,원
재무상태표(연결),이익잉여금,2025-03-31,5.37163E+12,원
재무상태표(연결),자본총계,2025-03-31,6.26024E+12,원
재무상태표(연결),부채및자본총계,2025-03-31,1.50662E+13,원
재무상태표(연결),유동자산,2025-06-30,4.01225E+12,원
재무상태표(연결),현금및현금성자산,2025-06-30,7.81685E+11,원
재무상태표(연결),단기금융상품,2025-06-30,3.74099E+11,원
재무상태표(연결),매출채권,2025-06-30,1.19269E+12,원
재무상태표(연결),기타채권,2025-06-30,99302744257,원
재무상태표(연결),선급금,2025-06-30,14394720407,원
재무상태표(연결),선급비용,2025-06-30,32750884576,원
재무상태표(연결),기타유동금융자산,2025-06-30,2839456296,원
재무상태표(연결),미수법인세환급액,2025-06-30,1468674803,원
재무상태표(연결),재고자산,2025-06-30,1.51302E+12,원
재무상태표(연결),비유동자산,2025-06-30,1.15774E+13,원
재무상태표(연결),장기매출채권,2025-06-30,412616296,원
재무상태표(연결),기타채권,2025-06-30,92914938614,원
재무상태표(연결),기타비유동금융자산,2025-06-30,3.98906E+12,원
재무상태표(연결),지분법적용투자지분,2025-06-30,4.10757E+11,원
재무상태표(연결),사용권자산,2025-06-30,2.7652E+11,원
재무상태표(연결),유형자산,2025-06-30,4.46151E+12,원
재무상태표(연결),무형자산,2025-06-30,3.6398E+11,원
재무상태표(연결),영업권,2025-06-30,9.3624E+11,원
재무상태표(연결),투자부동산,2025-06-30,1.01852E+12,원
재무상태표(연결),이연법인세자산,2025-06-30,27512288734,원
재무상태표(연결),자산총계,2025-06-30,1.55897E+13,원
재무상태표(연결),유동부채,2025-06-30,3.07327E+12,원
재무상태표(연결),매입채무,2025-06-30,7.1303E+11,원
재무상태표(연결),기타부채,2025-06-30,7.5242E+11,원
재무상태표(연결),단기차입금,2025-06-30,9.76435E+11,원
재무상태표(연결),유동성장기차입금,2025-06-30,11529400000,원
재무상태표(연결),유동성사채,2025-06-30,4.69646E+11,원
재무상태표(연결),유동충당부채,2025-06-30,19599889699,원
재무상태표(연결),미지급법인세,2025-06-30,1.30607E+11,원
재무상태표(연결),비유동부채,2025-06-30,5.44718E+12,원
재무상태표(연결),장기차입금,2025-06-30,2.48089E+12,원
재무상태표(연결),비유동사채,2025-06-30,1.28738E+12,원
재무상태표(연결),기타부채,2025-06-30,2.06514E+11,원
재무상태표(연결),순확정급여부채,2025-06-30,3.1093E+11,원
재무상태표(연결),기타장기종업원급여부채,2025-06-30,56459154946,원
재무상태표(연결),비유동충당부채,2025-06-30,23374566822,원
재무상태표(연결),이연법인세부채,2025-06-30,1.08163E+12,원
재무상태표(연결),부채총계,2025-06-30,8.52044E+12,원
재무상태표(연결),지배기업소유지분,2025-06-30,7.06924E+12,원
재무상태표(연결),자본금,2025-06-30,48084660000,원
재무상태표(연결),자본잉여금,2025-06-30,3.49759E+11,원
재무상태표(연결),자본조정,2025-06-30,-5.0435E+11,원
재무상태표(연결),기타포괄손익누계액,2025-06-30,9.10875E+11,원
재무상태표(연결),이익잉여금,2025-06-30,6.26487E+12,원
재무상태표(연결),자본총계,2025-06-30,7.06924E+12,원
재무상태표(연결),부채및자본총계,2025-06-30,1.55897E+13,원
재무상태표(연결),유동자산,2025-09-30,4.01887E+12,원
재무상태표(연결),현금및현금성자산,2025-09-30,9.15208E+11,원
재무상태표(연결),단기금융상품,2025-09-30,2.16899E+11,원
재무상태표(연결),매출채권,2025-09-30,1.20709E+12,원
재무상태표(연결),기타채권,2025-09-30,1.0907E+11,원
재무상태표(연결),선급금,2025-09-30,15964327764,원
재무상태표(연결),선급비용,2025-09-30,42244879613,원
재무상태표(연결),기타유동금융자산,2025-09-30,1445523105,원
재무상태표(연결),미수법인세환급액,2025-09-30,2716730328,원
재무상태표(연결),재고자산,2025-09-30,1.50823E+12,원
재무상태표(연결),비유동자산,2025-09-30,1.2193E+13,원
재무상태표(연결),장기매출채권,2025-09-30,691766551,원
재무상태표(연결),기타채권,2025-09-30,93607468997,원
재무상태표(연결),기타비유동금융자산,2025-09-30,4.53015E+12,원
재무상태표(연결),지분법적용투자지분,2025-09-30,4.18895E+11,원
재무상태표(연결),사용권자산,2025-09-30,2.79246E+11,원
재무상태표(연결),유형자산,2025-09-30,4.47694E+12,원
재무상태표(연결),무형자산,2025-09-30,3.66392E+11,원
재무상태표(연결),영업권,2025-09-30,9.67668E+11,원
재무상태표(연결),투자부동산,2025-09-30,1.03758E+12,원
재무상태표(연결),이연법인세자산,2025-09-30,21839494645,원
재무상태표(연결),자산총계,2025-09-30,1.62119E+13,원
재무상태표(연결),유동부채,2025-09-30,4.08519E+12,원
재무상태표(연결),매입채무,2025-09-30,6.70278E+11,원
재무상태표(연결),기타부채,2025-09-30,7.87321E+11,원
