기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,search_tag,search_text,fact_text,수치표시
2023-12-31,2023,YTD,2023 YTD,전사(공통),매출액,매출액,6288443,백만원,2023YTD|전사(공통)|매출액|매출액|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 전사(공통) 매출액 | 사업부 | 부문정보 | 전사(공통) | 매출액 | 전사 | 공통 | 매출 | sales | revenue | 백만원,2023년 YTD분기 사업부 부문정보 기준 전사(공통)의 매출액은 6288443백만원이며 기준일은 2023-12-31입니다.,6288443
2023-12-31,2023,YTD,2023 YTD,전사(공통),영업이익,영업이익,312531,백만원,2023YTD|전사(공통)|영업이익|영업이익|백만원,2023 YTD | 2023년 YTD | 2023년 YTD분기 | 2023-12-31 기준 전사(공통) 영업이익 | 사업부 | 부문정보 | 전사(공통) | 영업이익 | 전사 | 공통 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2023년 YTD분기 사업부 부문정보 기준 전사(공통)의 영업이익은 312531백만원이며 기준일은 2023-12-31입니다.,312531
2023-12-31,2023,Q4,2023 Q4,건자재,매출액,매출액,295139,백만원,2023Q4|건자재|매출액|매출액|백만원,2023 Q4 | 2023년 Q4 | 2023년 4분기 | 2023-12-31 기준 건자재 매출액 | 사업부 | 부문정보 | 건자재 | 매출액 | 건재 | 건자재사업부 | 매출 | sales | revenue | 백만원,2023년 4분기 사업부 부문정보 기준 건자재의 매출액은 295139백만원이며 기준일은 2023-12-31입니다.,295139
2023-12-31,2023,Q4,2023 Q4,건자재,영업이익,영업이익,52063,백만원,2023Q4|건자재|영업이익|영업이익|백만원,2023 Q4 | 2023년 Q4 | 2023년 4분기 | 2023-12-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2023년 4분기 사업부 부문정보 기준 건자재의 영업이익은 52063백만원이며 기준일은 2023-12-31입니다.,52063
2023-12-31,2023,Q4,2023 Q4,건자재,영업이익,영업이익률(%),17.64,%,2023Q4|건자재|영업이익|영업이익률(%)|%,2023 Q4 | 2023년 Q4 | 2023년 4분기 | 2023-12-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 영업이익률(%) | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | %,2023년 4분기 사업부 부문정보 기준 건자재의 영업이익률(%)은 18%이며 기준일은 2023-12-31입니다.,17.64
2023-12-31,2023,Q4,2023 Q4,기타,매출액,매출액,150000,백만원,2023Q4|기타|매출액|매출액|백만원,2023 Q4 | 2023년 Q4 | 2023년 4분기 | 2023-12-31 기준 기타 매출액 | 사업부 | 부문정보 | 기타 | 매출액 | other | 매출 | sales | revenue | 백만원,2023년 4분기 사업부 부문정보 기준 기타의 매출액은 150000백만원이며 기준일은 2023-12-31입니다.,150000
2023-12-31,2023,Q4,2023 Q4,기타,영업이익,영업이익,-5452,백만원,2023Q4|기타|영업이익|영업이익|백만원,2023 Q4 | 2023년 Q4 | 2023년 4분기 | 2023-12-31 기준 기타 영업이익 | 사업부 | 부문정보 | 기타 | 영업이익 | other | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2023년 4분기 사업부 부문정보 기준 기타의 영업이익은 -5452백만원이며 기준일은 2023-12-31입니다.,-5452
2023-12-31,2023,Q4,2023 Q4,기타,영업이익,영업이익률(%),-3.63,%,2023Q4|기타|영업이익|영업이익률(%)|%,2023 Q4 | 2023년 Q4 | 2023년 4분기 | 2023-12-31 기준 기타 영업이익 | 사업부 | 부문정보 | 기타 | 영업이익 | 영업이익률(%) | other | operating profit | operating income | 영업이익률 | operating margin | op margin | %,2023년 4분기 사업부 부문정보 기준 기타의 영업이익률(%)은 -4%이며 기준일은 2023-12-31입니다.,-3.63
2023-12-31,2023,Q4,2023 Q4,도료,매출액,매출액,453556,백만원,2023Q4|도료|매출액|매출액|백만원,2023 Q4 | 2023년 Q4 | 2023년 4분기 | 2023-12-31 기준 도료 매출액 | 사업부 | 부문정보 | 도료 | 매출액 | 도료사업부 | paint | 매출 | sales | revenue | 백만원,2023년 4분기 사업부 부문정보 기준 도료의 매출액은 453556백만원이며 기준일은 2023-12-31입니다.,453556
2023-12-31,2023,Q4,2023 Q4,도료,영업이익,영업이익,46796,백만원,2023Q4|도료|영업이익|영업이익|백만원,2023 Q4 | 2023년 Q4 | 2023년 4분기 | 2023-12-31 기준 도료 영업이익 | 사업부 | 부문정보 | 도료 | 영업이익 | 도료사업부 | paint | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2023년 4분기 사업부 부문정보 기준 도료의 영업이익은 46796백만원이며 기준일은 2023-12-31입니다.,46796
