재무제표,계정과목,기간,금액,단위
연결손익계산서,법인세비용(수익),4Q23," 3,626 ",백만원
연결손익계산서,당기순손익,4Q23," 29,393 ",백만원
연결손익계산서,기타포괄손익,4Q23,"-79,043 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,4Q23,"-97,742 ",백만원
연결손익계산서,지분법자본변동?,4Q23," 4,416 ",백만원
연결손익계산서,현금흐름위험회피,4Q23,"-25,493 ",백만원
연결손익계산서,해외사업환산손익 등,4Q23, 706 ,백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,4Q23,"-56,583 ",백만원
연결손익계산서,확정급여제도의 재측정요소,4Q23,"-61,201 ",백만원
연결손익계산서,지분법이익잉여금 ?,4Q23," 2,485 ",백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),4Q23, 44 ,백만원
연결손익계산서,총포괄손익,4Q23,"-49,651 ",백만원
연결손익계산서,지배기업소유주지분,4Q23," 66,569 ",백만원
연결손익계산서,비지배지분,4Q23,"-37,176 ",백만원
연결손익계산서,지배기업소유주지분,4Q23,"-2,175 ",백만원
연결손익계산서,비지배지분,4Q23,"-47,476 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),4Q23," 9,052 ",백만원
연결손익계산서,희석주당손익 (단위 : 원),4Q23," 9,052 ",백만원
연결손익계산서,매출액,1Q24," 1,588,372 ",백만원
연결손익계산서,매출원가,1Q24," 1,228,576 ",백만원
연결손익계산서,매출총이익,1Q24," 359,795 ",백만원
연결손익계산서,판매비와관리비,1Q24," 252,888 ",백만원
연결손익계산서,영업이익,1Q24," 106,907 ",백만원
연결손익계산서,지분법손익,1Q24,"-2,633 ",백만원
연결손익계산서,순금융손익,1Q24," 523,046 ",백만원
연결손익계산서,금융수익,1Q24," 656,804 ",백만원
연결손익계산서,금융원가,1Q24,"-133,758 ",백만원
연결손익계산서,기타영업외손익,1Q24,-258 ,백만원
연결손익계산서,기타이익,1Q24," 9,613 ",백만원
연결손익계산서,기타손실,1Q24,"-9,871 ",백만원
연결손익계산서,법인세비용차감전순손익,1Q24," 627,062 ",백만원
연결손익계산서,법인세비용(수익),1Q24," 172,151 ",백만원
연결손익계산서,당기순손익,1Q24," 454,911 ",백만원
연결손익계산서,기타포괄손익,1Q24,"-9,151 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,1Q24,"-6,582 ",백만원
연결손익계산서,지분법자본변동?,1Q24,"-3,915 ",백만원
연결손익계산서,현금흐름위험회피,1Q24,"-23,136 ",백만원
연결손익계산서,해외사업환산손익 등,1Q24," 20,469 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,1Q24,"-2,569 ",백만원
연결손익계산서,확정급여제도의 재측정요소,1Q24,"-1,717 ",백만원
연결손익계산서,지분법이익잉여금 ?,1Q24,-344 ,백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),1Q24,-508 ,백만원
연결손익계산서,총포괄손익,1Q24," 445,760 ",백만원
연결손익계산서,지배기업소유주지분,1Q24," 472,184 ",백만원
연결손익계산서,비지배지분,1Q24,"-17,274 ",백만원
연결손익계산서,지배기업소유주지분,1Q24," 479,585 ",백만원
연결손익계산서,비지배지분,1Q24,"-33,825 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),1Q24," 64,206 ",백만원
연결손익계산서,희석주당손익 (단위 : 원),1Q24," 64,206 ",백만원
연결손익계산서,매출액,2Q24," 1,778,728 ",백만원
연결손익계산서,매출원가,2Q24," 1,348,199 ",백만원
연결손익계산서,매출총이익,2Q24," 430,528 ",백만원
연결손익계산서,판매비와관리비,2Q24," 289,968 ",백만원
연결손익계산서,영업이익,2Q24," 140,561 ",백만원
연결손익계산서,지분법손익,2Q24," 65,671 ",백만원
연결손익계산서,순금융손익,2Q24,"-197,808 ",백만원
연결손익계산서,금융수익,2Q24," 108,581 ",백만원
연결손익계산서,금융원가,2Q24,"-306,389 ",백만원
연결손익계산서,기타영업외손익,2Q24,"-1,097 ",백만원
연결손익계산서,기타이익,2Q24," 11,687 ",백만원
연결손익계산서,기타손실,2Q24,"-12,785 ",백만원
연결손익계산서,법인세비용차감전순손익,2Q24," 7,327 ",백만원
연결손익계산서,법인세비용(수익),2Q24," 40,168 ",백만원
연결손익계산서,당기순손익,2Q24,"-32,841 ",백만원
연결손익계산서,기타포괄손익,2Q24,"-61,256 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,2Q24,"-60,987 ",백만원
연결손익계산서,지분법자본변동?,2Q24,"-49,110 ",백만원
연결손익계산서,해외사업환산손익 등,2Q24,"-11,877 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,2Q24,-269 ,백만원
연결손익계산서,확정급여제도의 재측정요소,2Q24,-27 ,백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q24,-242 ,백만원
연결손익계산서,총포괄손익,2Q24,"-94,097 ",백만원
연결손익계산서,지배기업소유주지분,2Q24,"-32,841 ",백만원
연결손익계산서,지배기업소유주지분,2Q24,"-94,097 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),2Q24,"-4,466 ",백만원
연결손익계산서,희석주당손익 (단위 : 원),2Q24,"-4,466 ",백만원
연결손익계산서,매출액,3Q24," 1,634,208 ",백만원
연결손익계산서,매출원가,3Q24," 1,195,392 ",백만원
연결손익계산서,매출총이익,3Q24," 438,816 ",백만원
연결손익계산서,판매비와관리비,3Q24," 313,487 ",백만원
연결손익계산서,영업이익,3Q24," 125,329 ",백만원
연결손익계산서,지분법손익,3Q24," 7,178 ",백만원
연결손익계산서,순금융손익,3Q24,"-139,074 ",백만원
연결손익계산서,금융수익,3Q24,"-25,469 ",백만원
연결손익계산서,금융원가,3Q24,"-113,605 ",백만원
연결손익계산서,기타영업외손익,3Q24,-533 ,백만원
연결손익계산서,기타이익,3Q24," 9,203 ",백만원
연결손익계산서,기타손실,3Q24,"-9,736 ",백만원
연결손익계산서,법인세비용차감전순손익,3Q24,"-7,101 ",백만원
연결손익계산서,법인세비용(수익),3Q24," 35,207 ",백만원
연결손익계산서,당기순손익,3Q24,"-42,308 ",백만원
연결손익계산서,기타포괄손익,3Q24," 52,301 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,3Q24," 52,104 ",백만원
연결손익계산서,지분법자본변동?,3Q24, 883 ,백만원
연결손익계산서,해외사업환산손익 등,3Q24," 51,221 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,3Q24, 197 ,백만원
연결손익계산서,확정급여제도의 재측정요소,3Q24,-4 ,백만원
연결손익계산서,지분법이익잉여금 ?,3Q24, 201 ,백만원
연결손익계산서,총포괄손익,3Q24," 9,993 ",백만원
연결손익계산서,지배기업소유주지분,3Q24,"-42,308 ",백만원
연결손익계산서,지배기업소유주지분,3Q24," 9,993 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),3Q24,"-5,753 ",백만원
연결손익계산서,희석주당손익 (단위 : 원),3Q24,"-5,753 ",백만원
연결손익계산서,매출액,4Q24," 1,657,455 ",백만원
연결손익계산서,매출원가,4Q24," 1,255,874 ",백만원
연결손익계산서,매출총이익,4Q24," 401,581 ",백만원
연결손익계산서,판매비와관리비,4Q24," 303,260 ",백만원
연결손익계산서,영업이익,4Q24," 98,322 ",백만원
연결손익계산서,지분법손익,4Q24," 2,119 ",백만원
연결손익계산서,순금융손익,4Q24,"-246,624 ",백만원
연결손익계산서,금융수익,4Q24," 181,884 ",백만원
연결손익계산서,금융원가,4Q24," 428,508 ",백만원
연결손익계산서,기타영업외손익,4Q24,"-11,236 ",백만원
연결손익계산서,기타이익,4Q24," 12,299 ",백만원
연결손익계산서,기타손실,4Q24,"-23,535 ",백만원
연결손익계산서,법인세비용차감전순손익,4Q24,"-157,419 ",백만원
연결손익계산서,법인세비용(수익),4Q24,"-70,951 ",백만원
연결손익계산서,당기순손익,4Q24,"-86,468 ",백만원
연결손익계산서,기타포괄손익,4Q24," 14,430 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,4Q24,"-3,007 ",백만원
연결손익계산서,지분법자본변동?,4Q24," 1,154 ",백만원
연결손익계산서,해외사업환산손익 등,4Q24,"-4,161 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,4Q24," 17,437 ",백만원
연결손익계산서,확정급여제도의 재측정요소,4Q24," 18,458 ",백만원
