data_type,account_name,date,year,quarter,value_raw
재무상태표,단기차입금,2023-06-30,2023,Q2,"832,370,379,008"
재무상태표,유동성장기차입금,2023-06-30,2023,Q2,"439,384,000,000"
재무상태표,유동성사채,2023-06-30,2023,Q2,"519,761,610,931"
재무상태표,유동파생상품부채,2023-06-30,2023,Q2,
재무상태표,유동충당부채,2023-06-30,2023,Q2,"2,490,548,038"
재무상태표,기타유동금융부채,2023-06-30,2023,Q2,
재무상태표,미지급법인세,2023-06-30,2023,Q2,"20,159,571,630"
재무상태표,소유주분배예정부채집단,2023-06-30,2023,Q2,
재무상태표,비유동부채,2023-06-30,2023,Q2,"1,579,191,924,992"
재무상태표,장기차입금,2023-06-30,2023,Q2,"228,037,338,592"
재무상태표,비유동사채,2023-06-30,2023,Q2,"918,134,683,660"
재무상태표,기타부채,2023-06-30,2023,Q2,"89,314,067,313"
재무상태표,기타비유동금융부채,2023-06-30,2023,Q2,"20,696,715,724"
재무상태표,순확정급여부채,2023-06-30,2023,Q2,
재무상태표,기타장기종업원급여부채,2023-06-30,2023,Q2,"4,137,497,225"
재무상태표,비유동충당부채,2023-06-30,2023,Q2,"724,294,372"
재무상태표,이연법인세부채,2023-06-30,2023,Q2,"724,294,372"
재무상태표,종업원급여부채,2023-06-30,2023,Q2,"724,294,372"
재무상태표,부채총계,2023-06-30,2023,Q2,"4,190,372,182,367"
재무상태표,자본,2023-06-30,2023,Q2,
재무상태표,자본금,2023-06-30,2023,Q2,"48,084,660,000"
재무상태표,자본잉여금,2023-06-30,2023,Q2,"553,070,812,612"
재무상태표,자본조정,2023-06-30,2023,Q2,"-304,846,768,510"
재무상태표,기타포괄손익누계액,2023-06-30,2023,Q2,"-29,984,940,332"
재무상태표,이익잉여금,2023-06-30,2023,Q2,"4,788,190,207,316"
재무상태표,자본총계,2023-06-30,2023,Q2,"5,054,513,971,086"
재무상태표,부채및자본총계,2023-06-30,2023,Q2,"9,244,886,153,453"
재무상태표,nan,2023-06-30,2023,Q2,
재무상태표,"검증1 (부채, 자본)",2023-06-30,2023,Q2,TRUE
재무상태표,검증2 (자산),2023-06-30,2023,Q2,TRUE
재무상태표,nan,2023-06-30,2023,Q2,
재무상태표,nan,2023-06-30,2023,Q2,
재무상태표,자산,2023-09-30,2023,Q3,
재무상태표,유동자산,2023-09-30,2023,Q3,"2,401,533,059,820"
재무상태표,현금및현금성자산,2023-09-30,2023,Q3,"732,684,371,662"
재무상태표,단기금융상품,2023-09-30,2023,Q3,"490,438,218,642"
재무상태표,매출채권,2023-09-30,2023,Q3,"584,509,760,814"
재무상태표,기타채권,2023-09-30,2023,Q3,"37,826,459,560"
재무상태표,매출채권 및 기타유동채권,2023-09-30,2023,Q3,
