기준일,연도,분기,기간표준,데이터구분,구분,항목,수치,단위,search_tag,search_text,fact_text
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,순금융손익,1129283,백만원,2025년2분기_순분기|연결손익계산서|순금융손익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 순금융손익 | 연결손익계산서 | 순분기 | 순금융손익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 순금융손익은(는) 1129283백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,영업이익,140381,백만원,2025년2분기_순분기|연결손익계산서|영업이익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 영업이익 | 연결손익계산서 | 순분기 | 영업이익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 영업이익은(는) 140381백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,재평가이익,1330,백만원,2025년2분기_순분기|연결손익계산서|재평가이익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 재평가이익 | 연결손익계산서 | 순분기 | 재평가이익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 재평가이익은(는) 1330백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,지배기업소유주지분,893271,백만원,2025년2분기_순분기|연결손익계산서|지배기업소유주지분|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 지배기업소유주지분 | 연결손익계산서 | 순분기 | 지배기업소유주지분 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 지배기업소유주지분은(는) 893271백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,지배기업소유주지분,809005,백만원,2025년2분기_순분기|연결손익계산서|지배기업소유주지분|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 지배기업소유주지분 | 연결손익계산서 | 순분기 | 지배기업소유주지분 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 지배기업소유주지분은(는) 809005백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,지분법손익,2785,백만원,2025년2분기_순분기|연결손익계산서|지분법손익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 지분법손익 | 연결손익계산서 | 순분기 | 지분법손익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 지분법손익은(는) 2785백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,지분법이익잉여금,-25,백만원,2025년2분기_순분기|연결손익계산서|지분법이익잉여금|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 지분법이익잉여금 | 연결손익계산서 | 순분기 | 지분법이익잉여금 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 지분법이익잉여금은(는) -25백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,지분법자본변동,-920,백만원,2025년2분기_순분기|연결손익계산서|지분법자본변동|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 지분법자본변동 | 연결손익계산서 | 순분기 | 지분법자본변동 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 지분법자본변동은(는) -920백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,총포괄손익,809005,백만원,2025년2분기_순분기|연결손익계산서|총포괄손익|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 총포괄손익 | 연결손익계산서 | 순분기 | 총포괄손익 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 총포괄손익은(는) 809005백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,판매비와관리비,296887,백만원,2025년2분기_순분기|연결손익계산서|판매비와관리비|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 판매비와관리비 | 연결손익계산서 | 순분기 | 판매비와관리비 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 판매비와관리비은(는) 296887백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,해외사업환산손익 등,-85400,백만원,2025년2분기_순분기|연결손익계산서|해외사업환산손익 등|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 해외사업환산손익 등 | 연결손익계산서 | 순분기 | 해외사업환산손익 등 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 해외사업환산손익 등은(는) -85400백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,-86319,백만원,2025년2분기_순분기|연결손익계산서|후속기간에 당기손익으로 재분류되는 항목|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 후속기간에 당기손익으로 재분류되는 항목 | 연결손익계산서 | 순분기 | 후속기간에 당기손익으로 재분류되는 항목 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 후속기간에 당기손익으로 재분류되는 항목은(는) -86319백만원입니다.
2025-06-30,2025,2분기(순분기),2025년 2분기(순분기),연결손익계산서,연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,2053,백만원,2025년2분기_순분기|연결손익계산서|후속기간에 당기손익으로 재분류되지 않는 항목|백만원,2025년 2분기(순분기) | 2025년 2Q 순분기 | 2025-06-30 기준 후속기간에 당기손익으로 재분류되지 않는 항목 | 연결손익계산서 | 순분기 | 후속기간에 당기손익으로 재분류되지 않는 항목 | 백만원,2025년 2분기(순분기) 연결손익계산서 기준 후속기간에 당기손익으로 재분류되지 않는 항목은(는) 2053백만원입니다.
2025-09-30,2025,3분기(순분기),2025년 3분기(순분기),연결손익계산서,연결손익계산서,금융수익,542870,백만원,2025년3분기_순분기|연결손익계산서|금융수익|백만원,2025년 3분기(순분기) | 2025년 3Q 순분기 | 2025-09-30 기준 금융수익 | 연결손익계산서 | 순분기 | 금융수익 | 백만원,2025년 3분기(순분기) 연결손익계산서 기준 금융수익은(는) 542870백만원입니다.
