순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
1-3-06,      지분법적용투자지분,"306,816,999,861 ","307,901,889,795 ","306,282,685,653 ","256,523,241,448 ","258,902,172,966 ","172,115,280,242 ","159,032,706,693 ","158,514,133,739 ","160,311,739,263 ","778,145,526,781 ","747,496,759,759 ","457,547,617,618 ","198,711,757,423 ","204,984,454,579 ","208,588,888,957 ","183,103,198,007 ","191,774,609,427 ","811,133,186,838 ","818,360,733,976 ","797,189,412,065 ","836,738,351,631 ","862,958,680,296 ","905,442,467,870 ","892,453,125,438 ","892,241,772,925 ","878,039,091,501 ","868,020,270,943 ","704,809,321,783 ","701,428,241,741 ","326,010,455,684 ","329,210,404,518 ","335,787,978,585 ","400,439,813,088 ","410,756,989,893 ","418,894,952,405 "
1-3-07,      사용권자산,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,683,099,119 ","29,731,498,712 ","35,674,155,687 ","36,626,657,087 ","141,792,996,718 ","148,548,285,918 ","147,900,930,742 ","138,321,195,854 ","137,157,146,504 ","138,455,332,608 ","139,418,378,679 ","155,293,038,522 ","167,203,254,301 ","169,717,321,130 ","172,046,792,152 ","190,271,024,979 ","191,943,800,335 ","184,840,907,779 ","181,129,126,417 ","199,176,066,356 ","198,360,384,806 ","199,412,751,741 ","193,494,625,626 ","204,204,042,447 ","294,427,131,294 ","276,520,247,338 ","279,245,799,338 "
1-3-08,      유형자산,"2,612,050,970,549 ","2,697,871,402,573 ","2,737,348,036,162 ","2,765,813,939,775 ","2,769,965,594,720 ","2,778,215,251,556 ","2,737,010,386,751 ","2,729,899,003,762 ","2,736,968,840,991 ","2,732,703,929,345 ","2,762,073,657,433 ","2,321,212,669,240 ","4,073,512,342,509 ","3,983,570,544,490 ","3,883,202,026,039 ","3,688,560,391,632 ","3,649,324,153,388 ","3,604,722,423,292 ","3,650,685,787,334 ","3,560,280,049,712 ","3,549,226,800,788 ","3,572,999,892,323 ","3,727,136,814,648 ","3,534,802,588,921 ","3,515,796,645,430 ","3,500,252,158,385 ","3,549,808,968,241 ","3,447,106,244,857 ","3,461,535,278,946 ","3,495,440,996,969 ","3,411,046,057,528 ","3,525,478,447,439 ","4,564,881,099,302 ","4,461,512,489,485 ","4,476,937,209,127 "
1-3-09,      무형자산,"17,448,646,401 ","17,476,347,918 ","17,372,062,456 ","12,803,303,976 ","12,545,710,489 ","14,291,378,491 ","12,132,094,914 ","13,216,359,832 ","13,200,448,432 ","12,865,697,212 ","34,002,117,385 ","8,791,901,838 ","514,422,678,877 ","498,613,451,145 ","487,046,846,829 ","447,990,318,059 ","448,450,400,540 ","441,909,606,242 ","452,896,956,454 ","441,657,540,213 ","437,592,325,215 ","445,905,223,704 ","470,870,516,208 ","424,374,027,019 ","429,280,707,118 ","417,999,857,151 ","410,689,695,142 ","393,389,670,767 ","395,439,829,115 ","395,258,280,592 ","376,565,353,506 ","394,698,974,348 ","391,671,030,634 ","363,979,695,022 ","366,392,032,011 "
1-3-10,      영업권,"21,920,379,735 ","21,920,379,735 ","21,920,379,735 ","17,657,267,165 ","18,347,264,775 ","17,986,537,640 ","17,840,583,561 ","17,425,741,330 ","18,210,711,537 ","17,974,364,757 ","18,328,613,869 ","18,827,268,348 ","822,025,969,512 ","807,207,190,668 ","799,431,818,411 ","739,728,236,684 ","770,825,470,079 ","768,582,440,647 ","820,943,205,771 ","821,460,252,051 ","838,458,600,879 ","893,704,645,379 ","990,064,946,564 ","872,427,190,444 ","898,109,857,370 ","904,665,017,531 ","925,704,414,304 ","888,470,256,499 ","927,840,201,974 ","957,068,089,980 ","910,303,559,811 ","1,012,559,922,828 ","1,010,847,670,718 ","936,240,228,140 ","967,668,062,578 "
1-3-11,      투자부동산,"648,686,728,169 ","654,347,630,301 ","657,090,610,840 ","647,909,714,263 ","651,919,496,837 ","650,312,857,519 ","659,580,532,700 ","645,143,635,998 ","647,541,290,911 ","645,885,772,422 ","645,097,069,744 ","628,650,434,930 ","679,767,272,183 ","676,063,546,889 ","619,801,255,443 ","613,179,392,254 ","631,878,012,954 ","639,191,160,767 ","648,255,842,707 ","619,037,401,635 ","625,056,111,353 ","638,655,649,002 ","639,412,804,070 ","646,050,622,965 ","712,523,777,190 ","705,140,592,703 ","672,062,075,693 ","705,088,716,227 ","711,525,243,013 ","713,069,610,005 ","745,177,048,223 ","751,490,913,403 ","1,047,443,861,658 ","1,018,521,949,558 ","1,037,581,745,999 "
1-3-12,      이연법인세자산,"636,570,077 ","346,444,280 ","873,044,981 ","677,015,650 ","1,281,263,126 ","688,484,718 ","635,471,740 ","703,869,692 ","769,967,828 ","699,660,958 ","831,018,443 ","755,866,098 ","10,501,758,712 ","10,662,564,736 ","10,980,156,546 ","34,876,063,175 ","32,688,912,561 ","32,756,976,349 ","28,414,691,837 ","23,929,932,221 ","23,905,785,730 ","24,868,881,691 ","23,007,920,126 ","15,416,596,562 ","15,705,255,647 ","16,203,963,207 ","14,187,873,322 ","15,738,478,639 ","16,195,334,942 ","16,998,180,510 ","15,411,526,570 ","18,341,411,572 ","27,242,591,505 ","27,512,288,734 ","21,839,494,645 "
1-3-13,      순확정급여자산,"1,954,164,058 ",0 ,0 ,"25,129,698,327 ","17,275,134,251 ","9,351,183,323 ","1,344,557,505 ","17,666,666,435 ","9,532,852,360 ","1,633,468,636 ",0 ,"21,981,330,743 ","15,599,656,552 ","17,295,317,111 ","10,888,305,943 ","16,089,495,805 ","14,290,743,493 ","19,206,376,396 ","14,245,390,335 ","22,848,003,937 ","18,052,487,588 ","15,433,722,196 ","10,600,770,585 ","41,000,012,834 ","36,912,971,899 ","35,858,531,501 ","31,779,022,206 ","6,763,957,443 ","1,043,696,811 ",0 ,0 ,"9,759,641,098 ","3,667,322,097 ",0 ,0 
1-4,   자산총계,"9,149,553,924,689 ","10,093,103,701,001 ","9,969,272,949,774 ","9,543,776,838,218 ","10,223,917,265,282 ","9,114,299,295,551 ","9,360,725,173,992 ","8,965,418,419,357 ","9,007,170,987,465 ","9,084,031,928,034 ","9,110,145,915,720 ","9,382,221,503,013 ","12,018,137,081,138 ","12,449,899,540,863 ","11,877,631,077,778 ","12,347,572,328,146 ","12,932,793,934,525 ","13,596,381,422,597 ","13,455,723,258,396 ","12,878,863,208,936 ","13,419,303,764,506 ","13,933,032,148,241 ","13,588,106,607,125 ","13,118,486,307,658 ","13,304,911,000,221 ","13,404,770,265,240 ","13,410,549,242,841 ","13,353,471,078,397 ","14,103,485,480,950 ","13,644,592,125,762 ","13,503,359,053,133 ","13,108,550,142,754 ","15,066,170,684,945 ","15,589,682,389,654 ","16,211,875,142,387 "
2,부채,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
